truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.08577201519381937
0,original,asymmetric_premise,0.0,-0.0708836825541862
0,original,asymmetric_conclusion,0.0,-0.08263848097638771
0,negation,original,0.0,-0.06595666954345583
0,negation,asymmetric_premise,1.0,0.07071178762027629
0,negation,asymmetric_conclusion,1.0,0.053694330677949195
0,antonym,original,0.0,-0.06823312202536984
0,antonym,asymmetric_premise,1.0,0.0795742138104242
0,antonym,asymmetric_conclusion,1.0,0.08306604350775372
0,paraphrase,original,0.1,-0.04644881330451773
0,paraphrase,asymmetric_premise,1.0,0.03656019426280359
0,paraphrase,asymmetric_conclusion,0.8,0.038756584391391506
0,paraphrase_inversion,original,0.2,-0.015523392237927586
0,paraphrase_inversion,asymmetric_premise,0.9,0.017062827586211148
0,paraphrase_inversion,asymmetric_conclusion,0.9,0.01941817688120716
0,negation_antonym,original,1.0,0.06143944707620602
0,negation_antonym,asymmetric_premise,0.0,-0.052935387018880585
0,negation_antonym,asymmetric_conclusion,0.0,-0.06291789169912809
0,negation_paraphrase,original,1.0,0.05299813256247684
0,negation_paraphrase,asymmetric_premise,0.0,-0.05649444004882699
0,negation_paraphrase,asymmetric_conclusion,0.0,-0.05227045207027418
0,negation_paraphrase_inversion,original,0.4,-0.015325992783291161
0,negation_paraphrase_inversion,asymmetric_premise,0.5,0.005303747340525001
0,negation_paraphrase_inversion,asymmetric_conclusion,0.4,-0.004362744490205521
1,original,original,0.0,-0.07766764665922163
1,original,asymmetric_premise,1.0,0.07294248750385553
1,original,asymmetric_conclusion,1.0,0.08678600865912156
1,negation,original,1.0,0.08035247927330223
1,negation,asymmetric_premise,0.0,-0.06491715361012668
1,negation,asymmetric_conclusion,0.0,-0.07390455525166623
1,antonym,original,1.0,0.06670684107769964
1,antonym,asymmetric_premise,0.0,-0.06993410801992692
1,antonym,asymmetric_conclusion,0.0,-0.07236631152219897
1,paraphrase,original,1.0,0.05263638861297922
1,paraphrase,asymmetric_premise,0.0,-0.053031698925118144
1,paraphrase,asymmetric_conclusion,0.0,-0.058219483193768864
1,paraphrase_inversion,original,0.9,0.03358072322695085
1,paraphrase_inversion,asymmetric_premise,0.0,-0.04459400785987623
1,paraphrase_inversion,asymmetric_conclusion,0.0,-0.04256422566403628
1,negation_antonym,original,0.0,-0.07096521687807486
1,negation_antonym,asymmetric_premise,1.0,0.07509077718605645
1,negation_antonym,asymmetric_conclusion,1.0,0.07233157135962762
1,negation_paraphrase,original,0.0,-0.070552920678233
1,negation_paraphrase,asymmetric_premise,1.0,0.069196050993848
1,negation_paraphrase,asymmetric_conclusion,1.0,0.0630329026136445
1,negation_paraphrase_inversion,original,0.0,-0.03437280088715542
1,negation_paraphrase_inversion,asymmetric_premise,0.9,0.03572338113615518
1,negation_paraphrase_inversion,asymmetric_conclusion,0.8,0.030312826423138393
2,original,original,1.0,0.07077445547151087
2,original,asymmetric_premise,0.0,-0.061884550705701
2,original,asymmetric_conclusion,0.0,-0.06268523892537392
2,negation,original,0.0,-0.08780437184721702
2,negation,asymmetric_premise,1.0,0.07870821632454794
2,negation,asymmetric_conclusion,1.0,0.0814056605243341
2,antonym,original,0.0,-0.06972762644694487
2,antonym,asymmetric_premise,1.0,0.06189318575040502
2,antonym,asymmetric_conclusion,1.0,0.06693587920337594
2,paraphrase,original,0.4,-0.007602730403831584
2,paraphrase,asymmetric_premise,0.1,-0.007144866990868808
2,paraphrase,asymmetric_conclusion,0.1,-0.019463989322134213
2,paraphrase_inversion,original,0.1,-0.03636915121475442
2,paraphrase_inversion,asymmetric_premise,0.8,0.02508440145834507
2,paraphrase_inversion,asymmetric_conclusion,0.9,0.03880485529597562
2,negation_antonym,original,1.0,0.06108397696013729
2,negation_antonym,asymmetric_premise,0.0,-0.05963518076440807
2,negation_antonym,asymmetric_conclusion,0.0,-0.07060155107043235
2,negation_paraphrase,original,0.0,-0.0766307319255297
2,negation_paraphrase,asymmetric_premise,1.0,0.07342980746828007
2,negation_paraphrase,asymmetric_conclusion,1.0,0.07035898146440847
2,negation_paraphrase_inversion,original,0.1,-0.028833394813761893
2,negation_paraphrase_inversion,asymmetric_premise,1.0,0.04154153644626307
2,negation_paraphrase_inversion,asymmetric_conclusion,0.9,0.02430935052645398
3,original,original,1.0,0.10630223631575239
3,original,asymmetric_premise,0.0,-0.09542119464510847
3,original,asymmetric_conclusion,0.0,-0.10957970363739207
3,negation,original,0.0,-0.10646400478243356
3,negation,asymmetric_premise,1.0,0.09606321944051519
3,negation,asymmetric_conclusion,1.0,0.10210233740454162
3,antonym,original,0.0,-0.10136340605657054
3,antonym,asymmetric_premise,1.0,0.10103720863712318
3,antonym,asymmetric_conclusion,1.0,0.10512608613181888
3,paraphrase,original,0.0,-0.08065530121774474
3,paraphrase,asymmetric_premise,1.0,0.09124620055335562
3,paraphrase,asymmetric_conclusion,1.0,0.08550712012554171
3,paraphrase_inversion,original,0.8,0.011042667567465273
3,paraphrase_inversion,asymmetric_premise,0.1,-0.009445594423695948
3,paraphrase_inversion,asymmetric_conclusion,0.1,-0.014019517768273884
3,negation_antonym,original,1.0,0.08049491270695595
3,negation_antonym,asymmetric_premise,0.0,-0.072233010048802
3,negation_antonym,asymmetric_conclusion,0.0,-0.07489516726504311
3,negation_paraphrase,original,1.0,0.08224394496608929
3,negation_paraphrase,asymmetric_premise,0.0,-0.07909174797047425
3,negation_paraphrase,asymmetric_conclusion,0.0,-0.08289288118013231
3,negation_paraphrase_inversion,original,0.0,-0.033623574424181485
3,negation_paraphrase_inversion,asymmetric_premise,1.0,0.03154398384708478
3,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.03555445320317911
4,original,original,1.0,0.11009155276957297
4,original,asymmetric_premise,0.0,-0.12297139852417541
4,original,asymmetric_conclusion,0.0,-0.1225567866341564
4,negation,original,0.0,-0.09713284324849833
4,negation,asymmetric_premise,1.0,0.07009307353384737
4,negation,asymmetric_conclusion,1.0,0.08911131165709295
4,antonym,original,0.0,-0.07180945300050329
4,antonym,asymmetric_premise,1.0,0.08958850264759977
4,antonym,asymmetric_conclusion,1.0,0.07812959404215492
4,paraphrase,original,1.0,0.05828264939190155
4,paraphrase,asymmetric_premise,0.0,-0.0662794603544146
4,paraphrase,asymmetric_conclusion,0.0,-0.06086020197710906
4,paraphrase_inversion,original,0.9,0.04627006434662594
4,paraphrase_inversion,asymmetric_premise,0.0,-0.046906311970274187
4,paraphrase_inversion,asymmetric_conclusion,0.1,-0.03375071867401982
4,negation_antonym,original,1.0,0.07724961767220326
4,negation_antonym,asymmetric_premise,0.0,-0.07644796163287096
4,negation_antonym,asymmetric_conclusion,0.0,-0.08196236080917231
4,negation_paraphrase,original,0.0,-0.07221396791867621
4,negation_paraphrase,asymmetric_premise,1.0,0.08382293369344446
4,negation_paraphrase,asymmetric_conclusion,1.0,0.08569854023650239
4,negation_paraphrase_inversion,original,0.0,-0.0751972653172643
4,negation_paraphrase_inversion,asymmetric_premise,1.0,0.07715828993260168
4,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.07280960036621928
5,original,original,0.0,-0.11300063190669163
5,original,asymmetric_premise,1.0,0.11586190705724972
5,original,asymmetric_conclusion,1.0,0.1281949804254396
5,negation,original,1.0,0.08786209534353902
5,negation,asymmetric_premise,0.0,-0.07664269829172116
5,negation,asymmetric_conclusion,0.0,-0.08242134779828972
5,antonym,original,1.0,0.07285928299660024
5,antonym,asymmetric_premise,0.0,-0.08513413552633987
5,antonym,asymmetric_conclusion,0.0,-0.06406412778737677
5,paraphrase,original,0.0,-0.08152058118530256
5,paraphrase,asymmetric_premise,1.0,0.07448524501479688
5,paraphrase,asymmetric_conclusion,1.0,0.09273170321095928
5,paraphrase_inversion,original,1.0,0.09219242132716558
5,paraphrase_inversion,asymmetric_premise,0.0,-0.08946831816739591
5,paraphrase_inversion,asymmetric_conclusion,0.0,-0.0896649768084855
5,negation_antonym,original,0.0,-0.07124789568524617
5,negation_antonym,asymmetric_premise,1.0,0.08349497621465257
5,negation_antonym,asymmetric_conclusion,1.0,0.0677280770038193
5,negation_paraphrase,original,1.0,0.07102642787505581
5,negation_paraphrase,asymmetric_premise,0.0,-0.06491642162367108
5,negation_paraphrase,asymmetric_conclusion,0.0,-0.06740016928656681
5,negation_paraphrase_inversion,original,0.0,-0.0937231037618251
5,negation_paraphrase_inversion,asymmetric_premise,1.0,0.08371847275235948
5,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.07203655122420947
6,original,original,1.0,0.10701245290748163
6,original,asymmetric_premise,0.0,-0.10403431344031082
6,original,asymmetric_conclusion,0.0,-0.1210729068200076
6,negation,original,0.0,-0.07817128062690328
