truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,0.5,-0.008208763824509515
0,original,asymmetric_premise,0.5,-0.007445231296289862
0,original,asymmetric_conclusion,0.4,-0.0045186465298053926
0,negation,original,1.0,0.06074174162503665
0,negation,asymmetric_premise,0.0,-0.059777678587045746
0,negation,asymmetric_conclusion,0.1,-0.062263142977368804
0,antonym,original,0.0,-0.08068495038118889
0,antonym,asymmetric_premise,1.0,0.08853865641640503
0,antonym,asymmetric_conclusion,1.0,0.08214261158130567
0,paraphrase,original,1.0,0.15839045628385712
0,paraphrase,asymmetric_premise,0.0,-0.1532765234690876
0,paraphrase,asymmetric_conclusion,0.0,-0.15364568322756306
0,paraphrase_inversion,original,0.0,-0.07092485971168075
0,paraphrase_inversion,asymmetric_premise,0.9,0.0890741470832936
0,paraphrase_inversion,asymmetric_conclusion,1.0,0.09760445275275034
0,negation_antonym,original,0.3,-0.013274823488375656
0,negation_antonym,asymmetric_premise,0.7,0.012957057106425663
0,negation_antonym,asymmetric_conclusion,0.6,0.012583944611796771
0,negation_paraphrase,original,0.0,-0.18649355062969586
0,negation_paraphrase,asymmetric_premise,1.0,0.17379439418570447
0,negation_paraphrase,asymmetric_conclusion,1.0,0.1733629354680186
0,negation_paraphrase_inversion,original,0.7,0.01998283523669091
0,negation_paraphrase_inversion,asymmetric_premise,0.3,-0.01949887236992282
0,negation_paraphrase_inversion,asymmetric_conclusion,0.1,-0.026144563660603685
1,original,original,0.5,-0.01016281778704912
1,original,asymmetric_premise,0.7,0.022898339143311672
1,original,asymmetric_conclusion,0.8,0.0337324709808229
1,negation,original,1.0,0.08880899864773832
1,negation,asymmetric_premise,0.2,-0.07502635241906461
1,negation,asymmetric_conclusion,0.1,-0.08902288650873874
1,antonym,original,0.5,0.0002933509072069004
1,antonym,asymmetric_premise,0.3,-0.023049154859235595
1,antonym,asymmetric_conclusion,0.4,-0.016546206431363664
1,paraphrase,original,0.2,-0.017869466280700373
1,paraphrase,asymmetric_premise,0.7,0.013719325321664694
1,paraphrase,asymmetric_conclusion,0.8,0.0033975219155718676
1,paraphrase_inversion,original,0.7,0.008752236157306859
1,paraphrase_inversion,asymmetric_premise,0.2,-0.04093233490286415
1,paraphrase_inversion,asymmetric_conclusion,0.0,-0.03599317278231827
1,negation_antonym,original,0.1,-0.07841613070775191
1,negation_antonym,asymmetric_premise,0.8,0.04622703825550998
1,negation_antonym,asymmetric_conclusion,0.9,0.08117476695977474
1,negation_paraphrase,original,0.5,-0.003618801563787845
1,negation_paraphrase,asymmetric_premise,0.6,0.001780041482498676
1,negation_paraphrase,asymmetric_conclusion,0.4,-0.004167699882507146
1,negation_paraphrase_inversion,original,0.1,-0.023347770143882292
1,negation_paraphrase_inversion,asymmetric_premise,0.9,0.035258324195839255
1,negation_paraphrase_inversion,asymmetric_conclusion,0.9,0.03200138308965826
2,original,original,1.0,0.0911595443120923
2,original,asymmetric_premise,0.0,-0.09752560794796614
2,original,asymmetric_conclusion,0.0,-0.09368540741941972
2,negation,original,0.0,-0.08356832089152454
2,negation,asymmetric_premise,1.0,0.08069084604817146
2,negation,asymmetric_conclusion,1.0,0.07254619119806532
2,antonym,original,0.1,-0.026707355823051775
2,antonym,asymmetric_premise,1.0,0.03524421903167394
2,antonym,asymmetric_conclusion,1.0,0.034190914611745074
2,paraphrase,original,0.0,-0.08208953866192706
2,paraphrase,asymmetric_premise,1.0,0.08255274159961459
2,paraphrase,asymmetric_conclusion,1.0,0.07110918803709274
2,paraphrase_inversion,original,0.4,-0.0032584497116658
2,paraphrase_inversion,asymmetric_premise,0.3,-0.0025703416863054915
2,paraphrase_inversion,asymmetric_conclusion,0.4,0.002170172434624764
2,negation_antonym,original,1.0,0.023807954153350273
2,negation_antonym,asymmetric_premise,0.2,-0.013941922464062478
2,negation_antonym,asymmetric_conclusion,0.0,-0.02918764589152467
2,negation_paraphrase,original,0.9,0.035509317160117
2,negation_paraphrase,asymmetric_premise,0.0,-0.039948225210332054
2,negation_paraphrase,asymmetric_conclusion,0.0,-0.04303922536764333
2,negation_paraphrase_inversion,original,0.0,-0.05405311038388024
2,negation_paraphrase_inversion,asymmetric_premise,0.8,0.03357415505955248
2,negation_paraphrase_inversion,asymmetric_conclusion,0.7,0.022862007193918926
3,original,original,0.0,-0.06311471698895514
3,original,asymmetric_premise,1.0,0.08535161966466498
3,original,asymmetric_conclusion,0.9,0.10060204895402373
3,negation,original,0.9,0.039727471041579324
3,negation,asymmetric_premise,0.1,-0.04675384638241473
3,negation,asymmetric_conclusion,0.1,-0.06257198285881085
3,antonym,original,1.0,0.06039793529393537
3,antonym,asymmetric_premise,0.0,-0.07620647711830196
3,antonym,asymmetric_conclusion,0.1,-0.05678904573444814
3,paraphrase,original,0.0,-0.08502026355016028
3,paraphrase,asymmetric_premise,0.9,0.06985823377173261
3,paraphrase,asymmetric_conclusion,0.9,0.0705288133604296
3,paraphrase_inversion,original,1.0,0.16351155285502705
3,paraphrase_inversion,asymmetric_premise,0.0,-0.16227756033990637
3,paraphrase_inversion,asymmetric_conclusion,0.0,-0.16109229995145377
3,negation_antonym,original,0.1,-0.03227954861757621
3,negation_antonym,asymmetric_premise,1.0,0.025868981244346344
3,negation_antonym,asymmetric_conclusion,0.8,0.011712008679593235
3,negation_paraphrase,original,0.1,-0.042054258154235795
3,negation_paraphrase,asymmetric_premise,0.9,0.04578629056157556
3,negation_paraphrase,asymmetric_conclusion,1.0,0.06200762382185916
3,negation_paraphrase_inversion,original,0.0,-0.14798244381103753
3,negation_paraphrase_inversion,asymmetric_premise,1.0,0.1437937163753507
3,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.15380760462603563
4,original,original,0.3,-0.025853271848776414
4,original,asymmetric_premise,0.4,-0.001945135273800282
4,original,asymmetric_conclusion,0.7,0.02764489096009018
4,negation,original,0.9,0.035907416118432116
4,negation,asymmetric_premise,0.1,-0.03666675181367235
4,negation,asymmetric_conclusion,0.0,-0.046413110295661066
4,antonym,original,1.0,0.038516246230740944
4,antonym,asymmetric_premise,0.2,-0.025949737646887773
4,antonym,asymmetric_conclusion,0.3,-0.02740245972173418
4,paraphrase,original,0.0,-0.0549890763701696
4,paraphrase,asymmetric_premise,1.0,0.04942542454312043
4,paraphrase,asymmetric_conclusion,1.0,0.05529551122281836
4,paraphrase_inversion,original,0.6,0.0038577334646477863
4,paraphrase_inversion,asymmetric_premise,0.5,0.005277053414913991
4,paraphrase_inversion,asymmetric_conclusion,0.6,0.010254039076621823
4,negation_antonym,original,0.0,-0.037290206630468475
4,negation_antonym,asymmetric_premise,1.0,0.0456460413218887
4,negation_antonym,asymmetric_conclusion,1.0,0.03669449672499273
4,negation_paraphrase,original,1.0,0.09389322618688498
4,negation_paraphrase,asymmetric_premise,0.0,-0.07843402861581991
4,negation_paraphrase,asymmetric_conclusion,0.0,-0.0990308925364629
4,negation_paraphrase_inversion,original,0.1,-0.028211323881918694
4,negation_paraphrase_inversion,asymmetric_premise,0.9,0.03096690430000758
4,negation_paraphrase_inversion,asymmetric_conclusion,0.8,0.017131383421398232
5,original,original,0.0,-0.08935526029428054
5,original,asymmetric_premise,1.0,0.08695879694724973
5,original,asymmetric_conclusion,1.0,0.08463338592372915
5,negation,original,1.0,0.11638680400260733
5,negation,asymmetric_premise,0.0,-0.13450022892612584
5,negation,asymmetric_conclusion,0.0,-0.12312452095363342
5,antonym,original,1.0,0.10751149578746284
5,antonym,asymmetric_premise,0.0,-0.11736834324121306
5,antonym,asymmetric_conclusion,0.0,-0.10535317811501714
5,paraphrase,original,0.6,0.01499282065132807
5,paraphrase,asymmetric_premise,0.1,-0.023669184157237868
5,paraphrase,asymmetric_conclusion,0.0,-0.04437459042859585
5,paraphrase_inversion,original,0.0,-0.05169429966244312
5,paraphrase_inversion,asymmetric_premise,0.9,0.03935329619937974
5,paraphrase_inversion,asymmetric_conclusion,1.0,0.04721281112725887
5,negation_antonym,original,0.0,-0.11120278119104343
5,negation_antonym,asymmetric_premise,1.0,0.1092627985177124
5,negation_antonym,asymmetric_conclusion,1.0,0.10511944963354798
5,negation_paraphrase,original,1.0,0.053999216675153706
5,negation_paraphrase,asymmetric_premise,0.0,-0.05165243784114537
5,negation_paraphrase,asymmetric_conclusion,0.0,-0.051184925521615146
5,negation_paraphrase_inversion,original,0.7,0.006844319148235012
5,negation_paraphrase_inversion,asymmetric_premise,0.2,-0.01627951786968594
5,negation_paraphrase_inversion,asymmetric_conclusion,0.4,-0.0018106668899495622
6,original,original,0.0,-0.05684223047481093
6,original,asymmetric_premise,1.0,0.06287152189215202
6,original,asymmetric_conclusion,1.0,0.07703906511263142
6,negation,original,0.9,0.01564848757095548
6,negation,asymmetric_premise,0.0,-0.024258400128701556
6,negation,asymmetric_conclusion,0.1,-0.03091486835226905
6,antonym,original,1.0,0.06454123092468791
6,antonym,asymmetric_premise,0.0,-0.10054746340747671
6,antonym,asymmetric_conclusion,0.0,-0.06797283349614318
6,paraphrase,original,0.0,-0.034705776479006537
6,paraphrase,asymmetric_premise,1.0,0.035960661499313755
6,paraphrase,asymmetric_conclusion,0.9,0.0399637834215022
6,paraphrase_inversion,original,0.4,-0.013011260722008797
6,paraphrase_inversion,asymmetric_premise,0.5,-0.005167542453795527
6,paraphrase_inversion,asymmetric_conclusion,0.4,-0.00947014296402687
6,negation_antonym,original,0.2,-0.031510595012122514
6,negation_antonym,asymmetric_premise,0.9,0.03608828724348252
6,negation_antonym,asymmetric_conclusion,0.8,0.023475862916685863
6,negation_paraphrase,original,0.0,-0.03014133598128361
6,negation_paraphrase,asymmetric_premise,0.7,0.007184910844794434
6,negation_paraphrase,asymmetric_conclusion,0.6,-0.002600903599959572
6,negation_paraphrase_inversion,original,0.0,-0.047877509574784094
6,negation_paraphrase_inversion,asymmetric_premise,1.0,0.04767822475491327
6,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.05829998075921698
7,original,original,0.0,-0.15808617533424962
7,original,asymmetric_premise,1.0,0.1289247105921559
7,original,asymmetric_conclusion,1.0,0.12783740509675245
7,negation,original,1.0,0.13260468466208325
7,negation,asymmetric_premise,0.0,-0.13721444350141668
7,negation,asymmetric_conclusion,0.0,-0.12141472900231158
7,antonym,original,1.0,0.10867261099184906
7,antonym,asymmetric_premise,0.0,-0.08286855559360058
7,antonym,asymmetric_conclusion,0.0,-0.09593224347435127
7,paraphrase,original,0.0,-0.12491302820880498
7,paraphrase,asymmetric_premise,1.0,0.12150596464991562
7,paraphrase,asymmetric_conclusion,1.0,0.12621680771994992
7,paraphrase_inversion,original,1.0,0.1295651899491728
7,paraphrase_inversion,asymmetric_premise,0.0,-0.13485010271015735
7,paraphrase_inversion,asymmetric_conclusion,0.0,-0.17767020792456836
7,negation_antonym,original,0.0,-0.1303370936010016
7,negation_antonym,asymmetric_premise,1.0,0.13077805284786775
7,negation_antonym,asymmetric_conclusion,1.0,0.10180777301921393
7,negation_paraphrase,original,0.5,-0.012511132306274073
7,negation_paraphrase,asymmetric_premise,0.5,0.00048113235450263905
7,negation_paraphrase,asymmetric_conclusion,0.4,-0.011549337503289738
7,negation_paraphrase_inversion,original,0.0,-0.11045856523550131
7,negation_paraphrase_inversion,asymmetric_premise,1.0,0.11135349433520872
