truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,0.9,0.010363982335876916
0,original,asymmetric_premise,0.1,-0.020398046861634465
0,original,asymmetric_conclusion,0.2,-0.020999154402283463
0,negation,original,1.0,0.07332312901580529
0,negation,asymmetric_premise,0.0,-0.07475387082213863
0,negation,asymmetric_conclusion,0.0,-0.06850180974751291
0,antonym,original,0.0,-0.033733771191160354
0,antonym,asymmetric_premise,1.0,0.04668733485859551
0,antonym,asymmetric_conclusion,1.0,0.04615514218444778
0,paraphrase,original,1.0,0.05529384868632163
0,paraphrase,asymmetric_premise,0.0,-0.052705481991801494
0,paraphrase,asymmetric_conclusion,0.0,-0.0514724056397874
0,paraphrase_inversion,original,0.1,-0.016597194616283915
0,paraphrase_inversion,asymmetric_premise,1.0,0.01954310087702812
0,paraphrase_inversion,asymmetric_conclusion,0.9,0.017630103343796354
0,negation_antonym,original,0.0,-0.047857751348276335
0,negation_antonym,asymmetric_premise,1.0,0.0458335799947375
0,negation_antonym,asymmetric_conclusion,1.0,0.03655955330663792
0,negation_paraphrase,original,0.0,-0.02669908269305587
0,negation_paraphrase,asymmetric_premise,1.0,0.03800527866651003
0,negation_paraphrase,asymmetric_conclusion,1.0,0.04081901007006711
0,negation_paraphrase_inversion,original,1.0,0.04247081067344033
0,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.0308606509164285
0,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.038434855471803905
1,original,original,0.3,-0.007714535487203888
1,original,asymmetric_premise,0.9,0.006997529868349998
1,original,asymmetric_conclusion,0.8,0.008783353647339936
1,negation,original,0.1,-0.02989416649124521
1,negation,asymmetric_premise,1.0,0.026369081785603588
1,negation,asymmetric_conclusion,1.0,0.030627084793916237
1,antonym,original,0.9,0.00909401460577523
1,antonym,asymmetric_premise,0.0,-0.011803013500824805
1,antonym,asymmetric_conclusion,0.0,-0.012942746205442859
1,paraphrase,original,0.0,-0.02806893423027309
1,paraphrase,asymmetric_premise,1.0,0.04400394213442467
1,paraphrase,asymmetric_conclusion,0.9,0.0260034136934508
1,paraphrase_inversion,original,0.8,0.012937875235268497
1,paraphrase_inversion,asymmetric_premise,0.2,-0.009818102461926345
1,paraphrase_inversion,asymmetric_conclusion,0.5,-0.005348763711814644
1,negation_antonym,original,1.0,0.0314564203067402
1,negation_antonym,asymmetric_premise,0.0,-0.025869734541024203
1,negation_antonym,asymmetric_conclusion,0.0,-0.028482803190223206
1,negation_paraphrase,original,1.0,0.016141299442615463
1,negation_paraphrase,asymmetric_premise,0.0,-0.020091367789969485
1,negation_paraphrase,asymmetric_conclusion,0.0,-0.023176414599828443
1,negation_paraphrase_inversion,original,1.0,0.04544670655206752
1,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.037986239210800056
1,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.036467931624876916
2,original,original,0.5,0.001042641656635763
2,original,asymmetric_premise,0.7,0.005169571973274843
2,original,asymmetric_conclusion,0.5,-0.0039596046717315665
2,negation,original,0.3,-0.009556687157324597
2,negation,asymmetric_premise,0.6,0.005170884694340197
2,negation,asymmetric_conclusion,0.8,0.012989945382828503
2,antonym,original,0.0,-0.03528841079742338
2,antonym,asymmetric_premise,1.0,0.038094637654585914
2,antonym,asymmetric_conclusion,1.0,0.03748623607185132
2,paraphrase,original,0.0,-0.017608768519993795
2,paraphrase,asymmetric_premise,0.9,0.024964790822075526
2,paraphrase,asymmetric_conclusion,0.8,0.009405607918048413
2,paraphrase_inversion,original,0.7,0.007577750588235926
2,paraphrase_inversion,asymmetric_premise,0.3,-0.012994392074123359
2,paraphrase_inversion,asymmetric_conclusion,0.1,-0.018334509122311025
2,negation_antonym,original,0.8,0.014512405397306593
2,negation_antonym,asymmetric_premise,0.1,-0.02495268500908364
2,negation_antonym,asymmetric_conclusion,0.0,-0.018502207476881468
2,negation_paraphrase,original,0.6,0.003812996177622359
2,negation_paraphrase,asymmetric_premise,0.5,0.001247892192537759
2,negation_paraphrase,asymmetric_conclusion,0.4,-0.0004527712673486095
2,negation_paraphrase_inversion,original,0.0,-0.03574057722587003
2,negation_paraphrase_inversion,asymmetric_premise,1.0,0.04321765314178986
2,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.03967788561361339
3,original,original,0.9,0.023175082258591436
3,original,asymmetric_premise,0.0,-0.018722861051050938
3,original,asymmetric_conclusion,0.0,-0.034782086735897395
3,negation,original,0.0,-0.043438563109220965
3,negation,asymmetric_premise,1.0,0.0403232413283145
3,negation,asymmetric_conclusion,1.0,0.0439351398212926
3,antonym,original,0.0,-0.01687310561568852
3,antonym,asymmetric_premise,1.0,0.03246034671405979
3,antonym,asymmetric_conclusion,1.0,0.024890382652456505
3,paraphrase,original,0.0,-0.04058348169785292
