truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.03472251804476924
0,original,asymmetric_premise,0.0,-0.04090016330062964
0,original,asymmetric_conclusion,0.0,-0.033892266646148125
0,negation,original,0.0,-0.046165247794903094
0,negation,asymmetric_premise,1.0,0.03936789284511455
0,negation,asymmetric_conclusion,1.0,0.032554145087699424
0,antonym,original,0.0,-0.08340109233042728
0,antonym,asymmetric_premise,1.0,0.09242309260475823
0,antonym,asymmetric_conclusion,1.0,0.08762471669945755
0,paraphrase,original,1.0,0.047243482335583425
0,paraphrase,asymmetric_premise,0.0,-0.050598381122259915
0,paraphrase,asymmetric_conclusion,0.0,-0.04402732410461197
0,paraphrase_inversion,original,0.0,-0.0797174584016085
0,paraphrase_inversion,asymmetric_premise,1.0,0.07553242158413988
0,paraphrase_inversion,asymmetric_conclusion,1.0,0.07525683652985743
0,negation_antonym,original,1.0,0.045544441645288626
0,negation_antonym,asymmetric_premise,0.0,-0.04984619879823103
0,negation_antonym,asymmetric_conclusion,0.1,-0.03994644353689651
0,negation_paraphrase,original,0.0,-0.019225249329550644
0,negation_paraphrase,asymmetric_premise,0.8,0.005969009903052937
0,negation_paraphrase,asymmetric_conclusion,0.9,0.011512845649786437
0,negation_paraphrase_inversion,original,1.0,0.05637981706329478
0,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.05723183533883688
0,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.061540396931350536
1,original,original,1.0,0.0617068908537451
1,original,asymmetric_premise,0.0,-0.06951824038512593
1,original,asymmetric_conclusion,0.0,-0.0715677545559377
1,negation,original,0.0,-0.047950909787180404
1,negation,asymmetric_premise,0.9,0.04849195357140669
1,negation,asymmetric_conclusion,0.8,0.04400842127611146
1,antonym,original,0.0,-0.0790153533265311
1,antonym,asymmetric_premise,1.0,0.09189978470108563
1,antonym,asymmetric_conclusion,1.0,0.09359307465579536
1,paraphrase,original,0.9,0.027645388671568134
1,paraphrase,asymmetric_premise,0.0,-0.03381007729978056
1,paraphrase,asymmetric_conclusion,0.0,-0.033495689323305086
1,paraphrase_inversion,original,0.0,-0.14037796141743122
1,paraphrase_inversion,asymmetric_premise,1.0,0.15250498743439325
1,paraphrase_inversion,asymmetric_conclusion,1.0,0.1431512220523508
1,negation_antonym,original,1.0,0.036121672262775704
1,negation_antonym,asymmetric_premise,0.1,-0.028354444241243164
1,negation_antonym,asymmetric_conclusion,0.0,-0.037496902356130624
1,negation_paraphrase,original,0.0,-0.022675136649147998
1,negation_paraphrase,asymmetric_premise,0.9,0.017961947201763043
1,negation_paraphrase,asymmetric_conclusion,1.0,0.021004375510391287
1,negation_paraphrase_inversion,original,1.0,0.0678101415876638
1,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.0827741921975291
1,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.07292559515928107
2,original,original,1.0,0.03259183650085089
2,original,asymmetric_premise,0.0,-0.040279915665045504
2,original,asymmetric_conclusion,0.0,-0.03664715411329243
2,negation,original,0.0,-0.045041072266347695
2,negation,asymmetric_premise,1.0,0.04977662891946148
2,negation,asymmetric_conclusion,1.0,0.042500194361393386
2,antonym,original,0.0,-0.04708109120009489
2,antonym,asymmetric_premise,1.0,0.054589930638691386
2,antonym,asymmetric_conclusion,1.0,0.04975681035439429
2,paraphrase,original,0.0,-0.048988431263321724
2,paraphrase,asymmetric_premise,1.0,0.043688683063918064
2,paraphrase,asymmetric_conclusion,1.0,0.05344184534421968
2,paraphrase_inversion,original,0.0,-0.031283812922780874
2,paraphrase_inversion,asymmetric_premise,0.9,0.028158967386918747
2,paraphrase_inversion,asymmetric_conclusion,0.9,0.02423094094290305
2,negation_antonym,original,1.0,0.030302432361362354
2,negation_antonym,asymmetric_premise,0.0,-0.02733805040566218
2,negation_antonym,asymmetric_conclusion,0.0,-0.024057529220413827
2,negation_paraphrase,original,1.0,0.019803955552650302
2,negation_paraphrase,asymmetric_premise,0.1,-0.014971252918955605
2,negation_paraphrase,asymmetric_conclusion,0.1,-0.013986957936614367
2,negation_paraphrase_inversion,original,1.0,0.03429688356203771
2,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.03885029588568522
2,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.03396746347883856
3,original,original,0.0,-0.07902776714598617
3,original,asymmetric_premise,1.0,0.06744975035651465
3,original,asymmetric_conclusion,1.0,0.06346589210828268
3,negation,original,1.0,0.045012014626321255
3,negation,asymmetric_premise,0.0,-0.03702514244494352
3,negation,asymmetric_conclusion,0.0,-0.031906816155975314
3,antonym,original,1.0,0.056564170471370266
3,antonym,asymmetric_premise,0.0,-0.06287881780990996
3,antonym,asymmetric_conclusion,0.0,-0.058494141809782116
3,paraphrase,original,0.0,-0.09779675797514895
3,paraphrase,asymmetric_premise,1.0,0.08589198557112407
3,paraphrase,asymmetric_conclusion,1.0,0.08988175019151415
3,paraphrase_inversion,original,1.0,0.06333183460415673
3,paraphrase_inversion,asymmetric_premise,0.0,-0.05836532933055305
3,paraphrase_inversion,asymmetric_conclusion,0.0,-0.06360203560215436
3,negation_antonym,original,0.0,-0.05036929042795242
3,negation_antonym,asymmetric_premise,1.0,0.051078505485012124
3,negation_antonym,asymmetric_conclusion,1.0,0.045781965582443435
3,negation_paraphrase,original,0.9,0.03676029420161607
3,negation_paraphrase,asymmetric_premise,0.0,-0.045311347039842395
3,negation_paraphrase,asymmetric_conclusion,0.2,-0.03795608949122638
3,negation_paraphrase_inversion,original,0.0,-0.025643769812060586
3,negation_paraphrase_inversion,asymmetric_premise,0.8,0.021750279532618634
3,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.02734351025276091
4,original,original,0.9,0.02568862720207633
4,original,asymmetric_premise,0.2,-0.01796035114991525
4,original,asymmetric_conclusion,0.1,-0.027096213633424304
4,negation,original,0.3,-0.008506514411493948
4,negation,asymmetric_premise,0.8,0.01179178560891434
4,negation,asymmetric_conclusion,0.5,-0.0008029162565769416
4,antonym,original,0.2,-0.007249576752153564
4,antonym,asymmetric_premise,0.7,0.0067368649672672086
4,antonym,asymmetric_conclusion,0.5,0.0055898937312275545
4,paraphrase,original,0.6,0.011863487201466042
4,paraphrase,asymmetric_premise,0.2,-0.013850345248977583
4,paraphrase,asymmetric_conclusion,0.2,-0.0074316875853157206
4,paraphrase_inversion,original,0.1,-0.016001456923563886
4,paraphrase_inversion,asymmetric_premise,0.8,0.010117532179352132
4,paraphrase_inversion,asymmetric_conclusion,0.9,0.015074372987445864
4,negation_antonym,original,0.2,-0.011245406474764656
4,negation_antonym,asymmetric_premise,0.5,0.0039971809925554705
4,negation_antonym,asymmetric_conclusion,0.5,-0.00021483258624633295
4,negation_paraphrase,original,1.0,0.020817093450096115
4,negation_paraphrase,asymmetric_premise,0.5,0.007509862123461804
4,negation_paraphrase,asymmetric_conclusion,0.2,-0.017798034886613575
4,negation_paraphrase_inversion,original,1.0,0.034947110389920676
4,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.030835206793121163
4,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.02273404867522858
5,original,original,1.0,0.03879101130427486
5,original,asymmetric_premise,0.0,-0.04272177108041111
5,original,asymmetric_conclusion,0.0,-0.041298866131830876
5,negation,original,0.1,-0.01676837701128214
5,negation,asymmetric_premise,0.9,0.011035318760415493
5,negation,asymmetric_conclusion,0.9,0.01615200553572569
5,antonym,original,0.0,-0.034813949652450604
5,antonym,asymmetric_premise,1.0,0.05144105465941906
5,antonym,asymmetric_conclusion,1.0,0.03985749838612422
5,paraphrase,original,1.0,0.0688748593305489
5,paraphrase,asymmetric_premise,0.0,-0.05802799649220749
5,paraphrase,asymmetric_conclusion,0.0,-0.055593978909872985
5,paraphrase_inversion,original,0.0,-0.06879602347512355
5,paraphrase_inversion,asymmetric_premise,1.0,0.06118245550666453
5,paraphrase_inversion,asymmetric_conclusion,1.0,0.06011155250161674
5,negation_antonym,original,0.7,0.00817692529485162
5,negation_antonym,asymmetric_premise,0.4,-0.006529535829720504
5,negation_antonym,asymmetric_conclusion,0.1,-0.01633940391739318
5,negation_paraphrase,original,0.0,-0.07516162308752687
5,negation_paraphrase,asymmetric_premise,1.0,0.07005744684295326
5,negation_paraphrase,asymmetric_conclusion,1.0,0.06377101968788365
5,negation_paraphrase_inversion,original,1.0,0.06363688275329507
5,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.061923774705951354
5,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.05756563813930131
6,original,original,0.0,-0.05970925918277573
6,original,asymmetric_premise,1.0,0.061040798440841815
6,original,asymmetric_conclusion,1.0,0.058617481093571754
6,negation,original,1.0,0.03938474050549278
6,negation,asymmetric_premise,0.0,-0.0362341581572578
6,negation,asymmetric_conclusion,0.0,-0.034029342905849955
6,antonym,original,1.0,0.05329273644731225
6,antonym,asymmetric_premise,0.0,-0.0579775471913879
6,antonym,asymmetric_conclusion,0.0,-0.05335443595293756
6,paraphrase,original,0.1,-0.029690246809302434
6,paraphrase,asymmetric_premise,0.9,0.020285949918443937
6,paraphrase,asymmetric_conclusion,1.0,0.019800763493225397
6,paraphrase_inversion,original,1.0,0.053447764496412975
6,paraphrase_inversion,asymmetric_premise,0.0,-0.043886396369189826
6,paraphrase_inversion,asymmetric_conclusion,0.0,-0.05456473128065696
6,negation_antonym,original,0.1,-0.023029099639372077
6,negation_antonym,asymmetric_premise,0.7,0.014737002864591408
6,negation_antonym,asymmetric_conclusion,0.8,0.012150767761299162
6,negation_paraphrase,original,0.6,0.0068827643613041025
6,negation_paraphrase,asymmetric_premise,0.2,-0.013455492299329713
6,negation_paraphrase,asymmetric_conclusion,0.6,0.0041052789795620985
6,negation_paraphrase_inversion,original,0.0,-0.027447009357347375
6,negation_paraphrase_inversion,asymmetric_premise,1.0,0.026730449332986704
6,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.031453504608141884
7,original,original,0.1,-0.027945108474689916
7,original,asymmetric_premise,0.8,0.024798143914597986
7,original,asymmetric_conclusion,1.0,0.03773667331646268
7,negation,original,0.0,-0.02287686193098089
7,negation,asymmetric_premise,0.9,0.01816893132008106
7,negation,asymmetric_conclusion,0.9,0.02237082800892113
7,antonym,original,0.7,0.0201521903417849
7,antonym,asymmetric_premise,0.2,-0.009716546704389461
7,antonym,asymmetric_conclusion,0.1,-0.022780851263969806
7,paraphrase,original,0.0,-0.05770178318476112
7,paraphrase,asymmetric_premise,1.0,0.05738267762284495
7,paraphrase,asymmetric_conclusion,1.0,0.057256342400829816
7,paraphrase_inversion,original,1.0,0.05014230936396928
7,paraphrase_inversion,asymmetric_premise,0.0,-0.05556835500590514
7,paraphrase_inversion,asymmetric_conclusion,0.0,-0.0564585048746468
7,negation_antonym,original,0.9,0.02568539273745793
7,negation_antonym,asymmetric_premise,0.0,-0.03231577472525128
7,negation_antonym,asymmetric_conclusion,0.1,-0.025227510353764877
7,negation_paraphrase,original,1.0,0.024639065320084176
7,negation_paraphrase,asymmetric_premise,0.0,-0.031012154084254943
7,negation_paraphrase,asymmetric_conclusion,0.0,-0.03206160105513581
7,negation_paraphrase_inversion,original,1.0,0.040243948929550584
7,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.02537489560725457
7,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.027301907461745174
8,original,original,1.0,0.11367442959682121
8,original,asymmetric_premise,0.0,-0.11569232427670395
8,original,asymmetric_conclusion,0.0,-0.10931268724950723
8,negation,original,0.0,-0.10026302750489666
8,negation,asymmetric_premise,1.0,0.09928192326586646
8,negation,asymmetric_conclusion,1.0,0.10211997225874789
8,antonym,original,0.0,-0.08588526302089874
