truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,0.0,-0.12590519383196583
0,negation,original,1.0,0.13254735492832204
0,antonym,original,1.0,0.11789354861268664
0,paraphrase,original,0.0,-0.13251043451486302
0,paraphrase_inversion,original,0.0,-0.06377541489649893
0,negation_antonym,original,0.0,-0.15687456051473542
0,negation_paraphrase,original,1.0,0.12424694910000326
0,negation_paraphrase_inversion,original,1.0,0.05183160000222527
1,original,original,1.0,0.033305070066760076
1,negation,original,0.0,-0.04329777650217627
1,antonym,original,0.0,-0.05184137485989393
1,paraphrase,original,1.0,0.026675175402788624
1,paraphrase_inversion,original,1.0,0.0388000589607366
1,negation_antonym,original,1.0,0.019371860023195547
1,negation_paraphrase,original,0.0,-0.021449439044301556
1,negation_paraphrase_inversion,original,0.0,-0.05457050907830472
2,original,original,0.8,0.006837750143842891
2,negation,original,1.0,0.0929118197346972
2,antonym,original,0.9,0.03533547951690291
2,paraphrase,original,0.0,-0.07200219342899986
2,paraphrase_inversion,original,0.0,-0.11084658150595902
2,negation_antonym,original,0.0,-0.13904634615050432
2,negation_paraphrase,original,1.0,0.1054071759073558
2,negation_paraphrase_inversion,original,0.3,-0.006415749833004791
3,original,original,1.0,0.2435392718336399
3,negation,original,0.0,-0.1713100475328107
3,antonym,original,0.0,-0.25217812629647074
3,paraphrase,original,1.0,0.22197019792820288
3,paraphrase_inversion,original,1.0,0.18602667394790715
3,negation_antonym,original,1.0,0.18896121601371962
3,negation_paraphrase,original,0.0,-0.14995031331055245
3,negation_paraphrase_inversion,original,0.0,-0.22809275413598806
4,original,original,0.9,0.028351219209484285
4,negation,original,0.0,-0.09031860989171718
4,antonym,original,0.7,0.006815728544273503
4,paraphrase,original,1.0,0.08279838168831163
4,paraphrase_inversion,original,1.0,0.07318355136749137
4,negation_antonym,original,1.0,0.07472674606687303
4,negation_paraphrase,original,0.0,-0.09943250404590324
4,negation_paraphrase_inversion,original,0.0,-0.03232021711948166
5,original,original,1.0,0.042831607903782425
5,negation,original,0.3,-0.010401980571315023
5,antonym,original,0.1,-0.0225546103401268
5,paraphrase,original,1.0,0.02850961835723314
5,paraphrase_inversion,original,1.0,0.056135451048769144
5,negation_antonym,original,0.8,0.017475169913253957
5,negation_paraphrase,original,0.2,-0.009427259722287048
5,negation_paraphrase_inversion,original,0.0,-0.03117852654423056
6,original,original,1.0,0.04746258831408214
6,negation,original,0.1,-0.002116527572398063
6,antonym,original,1.0,0.029423236184347258
6,paraphrase,original,1.0,0.08714977670561437
6,paraphrase_inversion,original,1.0,0.05655996289727431
6,negation_antonym,original,0.2,-0.009686336637079624
6,negation_paraphrase,original,0.0,-0.03649294220197711
6,negation_paraphrase_inversion,original,0.1,-0.015069123930356943
7,original,original,0.0,-0.026800440158012084
7,negation,original,1.0,0.06236513999833874
7,antonym,original,1.0,0.019233308457207283
7,paraphrase,original,0.0,-0.03738752814067176
7,paraphrase_inversion,original,1.0,0.049660429635144485
7,negation_antonym,original,0.0,-0.04225460862599436
7,negation_paraphrase,original,1.0,0.05468510096385866
7,negation_paraphrase_inversion,original,0.0,-0.04427726272053968
8,original,original,0.0,-0.049786484792240016
8,negation,original,1.0,0.06221237186003371
8,antonym,original,1.0,0.06098044340271215
8,paraphrase,original,0.2,-0.012735409274520998
8,paraphrase_inversion,original,1.0,0.04714313847618522
8,negation_antonym,original,0.0,-0.06891999452855357
8,negation_paraphrase,original,1.0,0.01679125027456511
8,negation_paraphrase_inversion,original,0.0,-0.033840317675389565
9,original,original,0.0,-0.10617844919754027
9,negation,original,1.0,0.07875195715117775
9,antonym,original,1.0,0.09915899190000295
9,paraphrase,original,0.0,-0.12045619144103356
9,paraphrase_inversion,original,1.0,0.09420534698158611
9,negation_antonym,original,0.0,-0.09410081031033687
9,negation_paraphrase,original,1.0,0.08036367315974491
9,negation_paraphrase_inversion,original,0.0,-0.10798812066833656
10,original,original,0.3,-0.013226487324507711
10,negation,original,1.0,0.06373070253896149
10,antonym,original,0.9,0.011942953183484286
10,paraphrase,original,1.0,0.02470728451149561
10,paraphrase_inversion,original,0.2,-0.03452859714209633
10,negation_antonym,original,0.0,-0.06500138770578542
10,negation_paraphrase,original,0.2,-0.03683209456760548
10,negation_paraphrase_inversion,original,0.7,0.03035093601739506
11,original,original,0.0,-0.03541577408084463
11,negation,original,1.0,0.041261352616665775
11,antonym,original,1.0,0.03006685396227395
11,paraphrase,original,1.0,0.030487055265954154
11,paraphrase_inversion,original,1.0,0.022760671389449816
11,negation_antonym,original,0.0,-0.04167875631950315
11,negation_paraphrase,original,0.2,-0.004565632525909549
11,negation_paraphrase_inversion,original,0.1,-0.011438113432072653
12,original,original,0.5,0.003336577991823575
12,negation,original,1.0,0.016951636813193626
12,antonym,original,0.3,-0.022268646661905613
12,paraphrase,original,0.8,0.026939666163965793
12,paraphrase_inversion,original,0.9,0.029913879287798716
12,negation_antonym,original,0.6,0.003464876853815832
12,negation_paraphrase,original,0.9,0.018153062585117195
12,negation_paraphrase_inversion,original,0.1,-0.029024827528587576
13,original,original,0.8,0.008230844100609033
13,negation,original,0.6,0.004425407503636327
13,antonym,original,0.0,-0.04030286178880122
13,paraphrase,original,0.0,-0.06136647549745715
13,paraphrase_inversion,original,0.5,0.0001934715662907923
13,negation_antonym,original,1.0,0.02761123522590837
13,negation_paraphrase,original,1.0,0.023289676326185435
13,negation_paraphrase_inversion,original,0.6,0.005798514244933613
14,original,original,0.0,-0.01750680711557174
14,negation,original,1.0,0.043254329571992926
14,antonym,original,1.0,0.026251410293448567
14,paraphrase,original,0.0,-0.02511170671640985
14,paraphrase_inversion,original,1.0,0.021783002693427877
14,negation_antonym,original,0.0,-0.04251148979558384
14,negation_paraphrase,original,1.0,0.06189127926540046
14,negation_paraphrase_inversion,original,0.0,-0.030510228250599243
15,original,original,0.1,-0.014555689616810969
15,negation,original,0.9,0.015851368945581625
15,antonym,original,0.0,-0.033255663815857865
15,paraphrase,original,0.2,-0.0033766515606942155
15,paraphrase_inversion,original,1.0,0.018857040376379416
15,negation_antonym,original,0.5,0.0034850250316845245
15,negation_paraphrase,original,0.6,0.004752510449121885
15,negation_paraphrase_inversion,original,0.0,-0.014860018620198432
16,original,original,0.1,-0.020016093229904924
16,negation,original,0.7,0.027663215207040286
16,antonym,original,0.3,-0.006007995173781475
16,paraphrase,original,0.4,0.0013792846441090846
16,paraphrase_inversion,original,0.4,-0.011055184244373278
16,negation_antonym,original,0.2,-0.020597569472953187
16,negation_paraphrase,original,0.7,0.009254014886398848
16,negation_paraphrase_inversion,original,0.6,0.00387151633710696
17,original,original,0.0,-0.06823614432742996
17,negation,original,1.0,0.06406271380992916
17,antonym,original,1.0,0.07468347465867389
17,paraphrase,original,0.0,-0.04930828232665139
17,paraphrase_inversion,original,1.0,0.08618664426796915
17,negation_antonym,original,0.0,-0.07541397846238326
17,negation_paraphrase,original,1.0,0.05819670954709553
17,negation_paraphrase_inversion,original,0.0,-0.08459106968112047
18,original,original,0.0,-0.1646784482461492
18,negation,original,1.0,0.10437571951999938
18,antonym,original,1.0,0.14140310639502157
18,paraphrase,original,0.0,-0.06811844709236906
18,paraphrase_inversion,original,1.0,0.06322077829880667
18,negation_antonym,original,0.0,-0.07137025748175244
18,negation_paraphrase,original,1.0,0.10858371609326752
18,negation_paraphrase_inversion,original,0.0,-0.04260876999147124
19,original,original,0.0,-0.08025923466665959
19,negation,original,1.0,0.16341037983394555
19,antonym,original,1.0,0.053060018408504925
19,paraphrase,original,0.0,-0.05133859965880459
19,paraphrase_inversion,original,1.0,0.0876209595571494
19,negation_antonym,original,0.0,-0.1505627678892388
19,negation_paraphrase,original,1.0,0.09965837889452003
19,negation_paraphrase_inversion,original,0.0,-0.10269531926532652
