truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.09286405263265915
0,original,asymmetric_premise,0.0,-0.0873057526670282
0,original,asymmetric_conclusion,0.0,-0.08283332732102988
0,negation,original,0.2,-0.005303731208356895
0,negation,asymmetric_premise,0.3,-0.00577823100344625
0,negation,asymmetric_conclusion,0.1,-0.010373503866275249
0,antonym,original,0.0,-0.036101056934951824
0,antonym,asymmetric_premise,1.0,0.04650792535601755
0,antonym,asymmetric_conclusion,1.0,0.061547299978420525
0,paraphrase,original,1.0,0.07242269689877595
0,paraphrase,asymmetric_premise,0.0,-0.06678096197375435
0,paraphrase,asymmetric_conclusion,0.0,-0.08279042443695234
0,paraphrase_inversion,original,0.0,-0.09235412680008515
0,paraphrase_inversion,asymmetric_premise,1.0,0.08016069492305483
0,paraphrase_inversion,asymmetric_conclusion,1.0,0.11329759250991081
0,negation_antonym,original,0.0,-0.03225074358460398
0,negation_antonym,asymmetric_premise,1.0,0.027982268817529514
0,negation_antonym,asymmetric_conclusion,0.9,0.013140777567538758
0,negation_paraphrase,original,0.1,-0.019241451301889187
0,negation_paraphrase,asymmetric_premise,1.0,0.030178927794259854
0,negation_paraphrase,asymmetric_conclusion,1.0,0.04864539666332307
0,negation_paraphrase_inversion,original,1.0,0.07181676568922635
0,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.0734313982154541
0,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.0750282224954749
1,original,original,0.0,-0.030026862209178752
1,original,asymmetric_premise,0.9,0.034907389482777
1,original,asymmetric_conclusion,0.9,0.0324894425603376
1,negation,original,0.5,-0.0007499503006195476
1,negation,asymmetric_premise,0.6,0.004318975554404128
1,negation,asymmetric_conclusion,0.8,0.015654476394513735
1,antonym,original,1.0,0.014857336430893011
1,antonym,asymmetric_premise,0.0,-0.012509690519289036
1,antonym,asymmetric_conclusion,0.2,-0.007456597920850383
1,paraphrase,original,0.1,-0.024104732859111345
1,paraphrase,asymmetric_premise,1.0,0.02188811964228945
1,paraphrase,asymmetric_conclusion,0.9,0.034650128226573325
1,paraphrase_inversion,original,1.0,0.04680137289793645
1,paraphrase_inversion,asymmetric_premise,0.0,-0.04228438935597782
1,paraphrase_inversion,asymmetric_conclusion,0.0,-0.05958955435673796
1,negation_antonym,original,0.0,-0.009630314673798868
1,negation_antonym,asymmetric_premise,0.9,0.008642763275080465
1,negation_antonym,asymmetric_conclusion,0.1,-0.009135602909681911
1,negation_paraphrase,original,0.1,-0.01236535244802529
1,negation_paraphrase,asymmetric_premise,0.9,0.015851841425363368
1,negation_paraphrase,asymmetric_conclusion,0.8,0.0070523823767972785
1,negation_paraphrase_inversion,original,1.0,0.019817517323104446
1,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.028654844134813943
1,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.03319759875474192
2,original,original,1.0,0.03437173273936389
2,original,asymmetric_premise,0.0,-0.029964656906077147
2,original,asymmetric_conclusion,0.5,-0.0026559172578428133
2,negation,original,1.0,0.015569857668580147
2,negation,asymmetric_premise,0.0,-0.019051521826425177
2,negation,asymmetric_conclusion,0.1,-0.025479301605395667
2,antonym,original,0.0,-0.03384980441016055
2,antonym,asymmetric_premise,0.9,0.017355313345343015
2,antonym,asymmetric_conclusion,1.0,0.02050393584228615
2,paraphrase,original,0.7,0.007163298918165332
2,paraphrase,asymmetric_premise,0.4,-0.001439582931573711
2,paraphrase,asymmetric_conclusion,0.3,-0.006146636841934173
2,paraphrase_inversion,original,0.7,-0.0003862574995514557
2,paraphrase_inversion,asymmetric_premise,0.5,0.003161952525845506
2,paraphrase_inversion,asymmetric_conclusion,0.9,0.02239881661033661
2,negation_antonym,original,0.8,0.005846964941647806
2,negation_antonym,asymmetric_premise,0.8,0.003486997941722321
2,negation_antonym,asymmetric_conclusion,0.2,-0.004021366498950793
2,negation_paraphrase,original,1.0,0.04986827018396328
2,negation_paraphrase,asymmetric_premise,0.0,-0.0464869176785194
2,negation_paraphrase,asymmetric_conclusion,0.0,-0.04099098630350582
2,negation_paraphrase_inversion,original,0.1,-0.010019154221160755
2,negation_paraphrase_inversion,asymmetric_premise,1.0,0.021013173047597766
2,negation_paraphrase_inversion,asymmetric_conclusion,0.5,-0.0012337711824441143
3,original,original,1.0,0.06295716183566553
3,original,asymmetric_premise,0.0,-0.05884074117904854
3,original,asymmetric_conclusion,0.0,-0.06172989438881284
3,negation,original,0.7,0.006339543110407407
3,negation,asymmetric_premise,0.1,-0.016055512636651063
3,negation,asymmetric_conclusion,0.7,0.005153906577138508
3,antonym,original,0.0,-0.055339567231856755
3,antonym,asymmetric_premise,1.0,0.03411546192317348
3,antonym,asymmetric_conclusion,1.0,0.05227463566007869
3,paraphrase,original,0.0,-0.0276967291807337
3,paraphrase,asymmetric_premise,1.0,0.03206021437294332
3,paraphrase,asymmetric_conclusion,0.8,0.024547296230614978
3,paraphrase_inversion,original,0.0,-0.04903169304050103
3,paraphrase_inversion,asymmetric_premise,0.9,0.0261989864399275
3,paraphrase_inversion,asymmetric_conclusion,1.0,0.045983196948183924
3,negation_antonym,original,0.0,-0.02872055862869316
3,negation_antonym,asymmetric_premise,0.9,0.032214032044327365
3,negation_antonym,asymmetric_conclusion,1.0,0.02067416819291462
3,negation_paraphrase,original,1.0,0.03069990196075076
3,negation_paraphrase,asymmetric_premise,0.0,-0.03685640123067589
3,negation_paraphrase,asymmetric_conclusion,0.0,-0.040313420336954245
3,negation_paraphrase_inversion,original,1.0,0.022136028952341437
3,negation_paraphrase_inversion,asymmetric_premise,0.1,-0.01846346459254904
3,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.030942046143567253
4,original,original,0.0,-0.07421641728483822
4,original,asymmetric_premise,1.0,0.07456423218053286
4,original,asymmetric_conclusion,1.0,0.07181912424941453
4,negation,original,0.0,-0.023527130533639643
4,negation,asymmetric_premise,1.0,0.03140649619496859
4,negation,asymmetric_conclusion,0.8,0.026508757814135447
4,antonym,original,0.3,-0.0059748822978332
4,antonym,asymmetric_premise,0.3,-0.012519268951212978
4,antonym,asymmetric_conclusion,0.4,-0.009105256982644973
4,paraphrase,original,0.1,-0.02496033192661745
4,paraphrase,asymmetric_premise,1.0,0.03420300845528906
4,paraphrase,asymmetric_conclusion,0.9,0.027184351380177163
4,paraphrase_inversion,original,1.0,0.02932610247521871
4,paraphrase_inversion,asymmetric_premise,0.0,-0.03789088887769686
4,paraphrase_inversion,asymmetric_conclusion,0.0,-0.030480933021531282
4,negation_antonym,original,1.0,0.05261524789579861
4,negation_antonym,asymmetric_premise,0.0,-0.04384204697734724
4,negation_antonym,asymmetric_conclusion,0.0,-0.042451710279840085
4,negation_paraphrase,original,1.0,0.05516615701948698
4,negation_paraphrase,asymmetric_premise,0.0,-0.03558847002797204
4,negation_paraphrase,asymmetric_conclusion,0.0,-0.04327093194120678
4,negation_paraphrase_inversion,original,1.0,0.03881479622498578
4,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.04350110855587851
4,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.05939677851434697
5,original,original,1.0,0.11646923864670038
5,original,asymmetric_premise,0.0,-0.09966975386149415
5,original,asymmetric_conclusion,0.0,-0.1394836997598906
5,negation,original,0.0,-0.0679671496050355
5,negation,asymmetric_premise,1.0,0.05410300642983797
5,negation,asymmetric_conclusion,1.0,0.04206900116191927
5,antonym,original,0.0,-0.09298822669975276
5,antonym,asymmetric_premise,1.0,0.07686805293142122
5,antonym,asymmetric_conclusion,1.0,0.1065821472223382
5,paraphrase,original,1.0,0.0950638952574554
5,paraphrase,asymmetric_premise,0.0,-0.09109280226910307
5,paraphrase,asymmetric_conclusion,0.0,-0.09999014587494318
5,paraphrase_inversion,original,0.7,0.007381767707107791
5,paraphrase_inversion,asymmetric_premise,0.0,-0.022629027974199356
5,paraphrase_inversion,asymmetric_conclusion,0.2,-0.020115963832316786
5,negation_antonym,original,1.0,0.05715139129771478
5,negation_antonym,asymmetric_premise,0.1,-0.034983639849564666
5,negation_antonym,asymmetric_conclusion,0.0,-0.03989199265100748
5,negation_paraphrase,original,0.0,-0.07995756995070866
5,negation_paraphrase,asymmetric_premise,1.0,0.08480982758852594
5,negation_paraphrase,asymmetric_conclusion,1.0,0.07666956196983983
5,negation_paraphrase_inversion,original,0.0,-0.037789525083803274
5,negation_paraphrase_inversion,asymmetric_premise,1.0,0.04638441392348276
5,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.045319381662053904
6,original,original,0.0,-0.07819936515922865
6,original,asymmetric_premise,1.0,0.04650685006223797
6,original,asymmetric_conclusion,1.0,0.06821826363381547
6,negation,original,0.7,0.004199280981801077
6,negation,asymmetric_premise,0.6,0.0041340109666405675
6,negation,asymmetric_conclusion,0.4,4.962866361533386e-05
6,antonym,original,1.0,0.09205736171529934
6,antonym,asymmetric_premise,0.0,-0.05917407542820584
6,antonym,asymmetric_conclusion,0.0,-0.07147027449203032
6,paraphrase,original,0.0,-0.07439855846678481
6,paraphrase,asymmetric_premise,1.0,0.055994779692961905
6,paraphrase,asymmetric_conclusion,1.0,0.07694939202522964
6,paraphrase_inversion,original,1.0,0.04369211673238058
6,paraphrase_inversion,asymmetric_premise,0.1,-0.025402823619574945
6,paraphrase_inversion,asymmetric_conclusion,0.0,-0.04270421027086489
6,negation_antonym,original,0.0,-0.026352673892393857
6,negation_antonym,asymmetric_premise,1.0,0.023330165776677632
6,negation_antonym,asymmetric_conclusion,1.0,0.016209265777379966
6,negation_paraphrase,original,0.6,0.009342666548413781
6,negation_paraphrase,asymmetric_premise,0.4,-0.0027521299209490487
6,negation_paraphrase,asymmetric_conclusion,0.0,-0.020174265057545902
6,negation_paraphrase_inversion,original,0.6,0.001938527926016612
6,negation_paraphrase_inversion,asymmetric_premise,0.2,-0.009622196725244187
6,negation_paraphrase_inversion,asymmetric_conclusion,0.7,0.0035450794821430876
7,original,original,0.0,-0.10695478884371741
7,original,asymmetric_premise,1.0,0.08550016939480229
7,original,asymmetric_conclusion,1.0,0.0913428163311837
7,negation,original,0.3,-0.007909771017790754
7,negation,asymmetric_premise,0.5,-0.005520456364934622
7,negation,asymmetric_conclusion,0.1,-0.011213257584185801
7,antonym,original,1.0,0.0521133519183141
7,antonym,asymmetric_premise,0.0,-0.061396733522913485
7,antonym,asymmetric_conclusion,0.0,-0.0485084953151338
7,paraphrase,original,0.0,-0.07911583217254263
7,paraphrase,asymmetric_premise,1.0,0.07002519914999002
7,paraphrase,asymmetric_conclusion,1.0,0.0689905439761223
7,paraphrase_inversion,original,1.0,0.09345545745904796
7,paraphrase_inversion,asymmetric_premise,0.0,-0.10764931822901544
7,paraphrase_inversion,asymmetric_conclusion,0.0,-0.08834972281642647
7,negation_antonym,original,0.9,0.018779964905769463
7,negation_antonym,asymmetric_premise,0.5,-0.00134227617850408
7,negation_antonym,asymmetric_conclusion,0.9,0.016290351007510362
7,negation_paraphrase,original,0.0,-0.020609421718544043
7,negation_paraphrase,asymmetric_premise,0.4,0.00032666804009026705
7,negation_paraphrase,asymmetric_conclusion,0.2,-0.004533085950127961
7,negation_paraphrase_inversion,original,0.1,-0.0207600542999988
7,negation_paraphrase_inversion,asymmetric_premise,1.0,0.038357082815721436
7,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.0172166208886922
8,original,original,1.0,0.07950322982378447
8,original,asymmetric_premise,0.0,-0.08714064167278356
8,original,asymmetric_conclusion,0.0,-0.06703536537340418
8,negation,original,0.0,-0.0686479059412893
8,negation,asymmetric_premise,1.0,0.0756238204565099
8,negation,asymmetric_conclusion,1.0,0.05692196274503447
8,antonym,original,0.0,-0.07207749324035093
8,antonym,asymmetric_premise,1.0,0.08164025671202166
8,antonym,asymmetric_conclusion,1.0,0.06271719435890441
8,paraphrase,original,1.0,0.058813554577357166
8,paraphrase,asymmetric_premise,0.0,-0.03822685624134007
8,paraphrase,asymmetric_conclusion,0.0,-0.04424663328649874
8,paraphrase_inversion,original,0.0,-0.049789598810157695
8,paraphrase_inversion,asymmetric_premise,1.0,0.03702077367276862
8,paraphrase_inversion,asymmetric_conclusion,1.0,0.030824595378869536
8,negation_antonym,original,1.0,0.07665227299891797
8,negation_antonym,asymmetric_premise,0.0,-0.07967895087616697
8,negation_antonym,asymmetric_conclusion,0.0,-0.07280476942825508
8,negation_paraphrase,original,0.0,-0.05070050471448358
8,negation_paraphrase,asymmetric_premise,1.0,0.044057953573663
8,negation_paraphrase,asymmetric_conclusion,1.0,0.026660903200833697
8,negation_paraphrase_inversion,original,1.0,0.03187548103289624
8,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.037350241818624445
8,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.042164940200976865
9,original,original,1.0,0.16105966081141707
9,original,asymmetric_premise,0.0,-0.1611505815581371
9,original,asymmetric_conclusion,0.0,-0.14630142756907558
9,negation,original,0.0,-0.07670582941743917
9,negation,asymmetric_premise,0.9,0.0545452673046309
9,negation,asymmetric_conclusion,1.0,0.08562020017960877
9,antonym,original,0.0,-0.11393982075762862
9,antonym,asymmetric_premise,1.0,0.0986146805046915
9,antonym,asymmetric_conclusion,1.0,0.10622469124060356
9,paraphrase,original,1.0,0.12710582117696465
9,paraphrase,asymmetric_premise,0.0,-0.12362587265837785
9,paraphrase,asymmetric_conclusion,0.0,-0.10036104870064066
9,paraphrase_inversion,original,0.0,-0.0966179427195615
9,paraphrase_inversion,asymmetric_premise,1.0,0.09942629303467176
9,paraphrase_inversion,asymmetric_conclusion,1.0,0.09712627158388885
9,negation_antonym,original,0.9,0.007828090005563984
9,negation_antonym,asymmetric_premise,0.6,-0.0012866226404716285
9,negation_antonym,asymmetric_conclusion,0.3,-0.007825352584934987
9,negation_paraphrase,original,0.0,-0.05748057490381148
9,negation_paraphrase,asymmetric_premise,1.0,0.08296188749402941
9,negation_paraphrase,asymmetric_conclusion,1.0,0.0540997229329645
9,negation_paraphrase_inversion,original,1.0,0.05179441813094012
9,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.04644517055055304
9,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.055442767750621756
10,original,original,0.9,0.04618392585426851
10,original,asymmetric_premise,0.2,-0.05128158195981429
10,original,asymmetric_conclusion,0.0,-0.06508971736420342
10,negation,original,0.6,0.000971751716703353
10,negation,asymmetric_premise,0.6,-0.002701459066758775
10,negation,asymmetric_conclusion,0.2,-0.016568216727463867
