truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.13335727710284254
0,original,asymmetric_premise,0.0,-0.16170326599204862
0,original,asymmetric_conclusion,0.0,-0.12298177316789408
0,negation,original,0.0,-0.07672206383513051
0,negation,asymmetric_premise,1.0,0.07596706040184174
0,negation,asymmetric_conclusion,1.0,0.06743613165362736
0,antonym,original,0.0,-0.09066999171825421
0,antonym,asymmetric_premise,1.0,0.09123423595729759
0,antonym,asymmetric_conclusion,0.9,0.06524843415080515
0,paraphrase,original,0.9,0.04850513099855059
0,paraphrase,asymmetric_premise,0.1,-0.05944603995803612
0,paraphrase,asymmetric_conclusion,0.0,-0.023212327243508926
0,paraphrase_inversion,original,0.0,-0.03803157028508582
0,paraphrase_inversion,asymmetric_premise,0.8,0.02456025397456158
0,paraphrase_inversion,asymmetric_conclusion,1.0,0.04582928006043439
0,negation_antonym,original,0.8,0.025594947623362167
0,negation_antonym,asymmetric_premise,0.3,-0.0349544902507777
0,negation_antonym,asymmetric_conclusion,0.1,-0.04637259921275919
0,negation_paraphrase,original,0.6,-0.000423151046654709
0,negation_paraphrase,asymmetric_premise,0.8,0.020502170567802076
0,negation_paraphrase,asymmetric_conclusion,1.0,0.02294286448951931
0,negation_paraphrase_inversion,original,0.8,0.051719551671373896
0,negation_paraphrase_inversion,asymmetric_premise,0.1,-0.052461559514860076
0,negation_paraphrase_inversion,asymmetric_conclusion,0.1,-0.03090039154183143
1,original,original,0.0,-0.06507873880713619
1,original,asymmetric_premise,1.0,0.057356788718173866
1,original,asymmetric_conclusion,1.0,0.05462741437566966
1,negation,original,1.0,0.0415854364431085
1,negation,asymmetric_premise,0.0,-0.04027957617767204
1,negation,asymmetric_conclusion,0.0,-0.04311911621203263
1,antonym,original,1.0,0.07127592737803395
1,antonym,asymmetric_premise,0.0,-0.049515713230806224
1,antonym,asymmetric_conclusion,0.1,-0.029367254373537367
1,paraphrase,original,0.0,-0.09213398096890005
1,paraphrase,asymmetric_premise,1.0,0.08089863090380126
1,paraphrase,asymmetric_conclusion,1.0,0.07399816179589806
1,paraphrase_inversion,original,1.0,0.12939748820480096
1,paraphrase_inversion,asymmetric_premise,0.0,-0.1343302796390368
1,paraphrase_inversion,asymmetric_conclusion,0.0,-0.08625900734637602
1,negation_antonym,original,0.0,-0.03071530407222618
1,negation_antonym,asymmetric_premise,1.0,0.023187515318891246
1,negation_antonym,asymmetric_conclusion,0.9,0.019535733225466607
1,negation_paraphrase,original,1.0,0.030870979650620096
1,negation_paraphrase,asymmetric_premise,0.0,-0.022193997716485954
1,negation_paraphrase,asymmetric_conclusion,0.0,-0.03079662305737165
1,negation_paraphrase_inversion,original,0.0,-0.08067420041536592
1,negation_paraphrase_inversion,asymmetric_premise,1.0,0.0658043379413109
1,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.05270703956830862
2,original,original,1.0,0.06686172809987953
2,original,asymmetric_premise,0.0,-0.055919650990822765
2,original,asymmetric_conclusion,0.1,-0.044540041967037446
2,negation,original,0.1,-0.023880530738417376
2,negation,asymmetric_premise,0.6,0.02064259954036757
2,negation,asymmetric_conclusion,0.9,0.025828646112053898
2,antonym,original,0.3,-0.009179863034124729
2,antonym,asymmetric_premise,0.5,0.009856501400679897
2,antonym,asymmetric_conclusion,0.6,0.00712521422081693
2,paraphrase,original,0.9,0.04747341307787305
2,paraphrase,asymmetric_premise,0.0,-0.0480445597828165
2,paraphrase,asymmetric_conclusion,0.2,-0.04498515082066662
2,paraphrase_inversion,original,0.8,0.01950770361807994
2,paraphrase_inversion,asymmetric_premise,0.3,-0.019494475048389585
2,paraphrase_inversion,asymmetric_conclusion,0.7,0.019439900959633966
2,negation_antonym,original,0.6,0.015472546544413764
2,negation_antonym,asymmetric_premise,0.3,-0.016576506197240444
2,negation_antonym,asymmetric_conclusion,0.1,-0.014504729710920214
2,negation_paraphrase,original,0.2,-0.015597115759476903
2,negation_paraphrase,asymmetric_premise,0.6,0.015620118328845151
2,negation_paraphrase,asymmetric_conclusion,1.0,0.02678609102522254
2,negation_paraphrase_inversion,original,0.0,-0.04472903717276884
2,negation_paraphrase_inversion,asymmetric_premise,0.9,0.046110507412167434
2,negation_paraphrase_inversion,asymmetric_conclusion,0.9,0.0229652632085622
3,original,original,0.9,0.01824591474785075
3,original,asymmetric_premise,0.0,-0.06186888290865543
3,original,asymmetric_conclusion,0.3,-0.013800356133363497
3,negation,original,0.4,-0.002333228749491027
3,negation,asymmetric_premise,0.9,0.024394296446058845
3,negation,asymmetric_conclusion,1.0,0.040041499588635766
3,antonym,original,0.0,-0.018445107538695986
3,antonym,asymmetric_premise,0.9,0.047554697929216974
3,antonym,asymmetric_conclusion,0.3,0.000282959107531677
3,paraphrase,original,1.0,0.05471419660595771
3,paraphrase,asymmetric_premise,0.0,-0.06350898696086027
3,paraphrase,asymmetric_conclusion,0.0,-0.055401722045776244
3,paraphrase_inversion,original,0.0,-0.025388185024949973
3,paraphrase_inversion,asymmetric_premise,0.9,0.06450731779373726
3,paraphrase_inversion,asymmetric_conclusion,0.7,0.005884755850658414
3,negation_antonym,original,0.5,-0.001961173563861531
3,negation_antonym,asymmetric_premise,0.3,-0.01729446547526794
3,negation_antonym,asymmetric_conclusion,0.1,-0.030456004592330783
3,negation_paraphrase,original,0.0,-0.06803931799410315
3,negation_paraphrase,asymmetric_premise,1.0,0.07536387158421845
3,negation_paraphrase,asymmetric_conclusion,1.0,0.029009021664613242
3,negation_paraphrase_inversion,original,1.0,0.057809417336744474
3,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.13164016687275454
3,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.047062041906191385
4,original,original,0.0,-0.173372953731264
4,original,asymmetric_premise,1.0,0.15168834271203369
4,original,asymmetric_conclusion,1.0,0.13154750001780327
4,negation,original,1.0,0.05998558045759993
4,negation,asymmetric_premise,0.2,-0.04435360743798896
