truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.13881038915868005
0,original,asymmetric_premise,0.0,-0.15955791395980828
0,original,asymmetric_conclusion,0.0,-0.13938641951589775
0,negation,original,0.0,-0.10847451075409305
0,negation,asymmetric_premise,1.0,0.10678158720700744
0,negation,asymmetric_conclusion,1.0,0.09493882474306935
0,antonym,original,0.1,-0.07871136387877738
0,antonym,asymmetric_premise,1.0,0.07015113833375378
0,antonym,asymmetric_conclusion,0.9,0.09965717428379872
0,paraphrase,original,1.0,0.05198073971849657
0,paraphrase,asymmetric_premise,0.3,-0.028486818394594427
0,paraphrase,asymmetric_conclusion,0.1,-0.029436022934023875
0,paraphrase_inversion,original,0.1,-0.051911815451111266
0,paraphrase_inversion,asymmetric_premise,1.0,0.04425929976405704
0,paraphrase_inversion,asymmetric_conclusion,0.9,0.026135087329363836
0,negation_antonym,original,0.9,0.03997923943671417
0,negation_antonym,asymmetric_premise,0.0,-0.04065604099142681
0,negation_antonym,asymmetric_conclusion,0.1,-0.025273635022254142
0,negation_paraphrase,original,0.2,-0.020262754790541182
0,negation_paraphrase,asymmetric_premise,1.0,0.03156970703257973
0,negation_paraphrase,asymmetric_conclusion,0.8,0.019971494738187878
0,negation_paraphrase_inversion,original,0.9,0.040315279551821445
0,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.03833312615275558
0,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.030697424384580306
1,original,original,0.1,-0.02494904197004796
1,original,asymmetric_premise,0.9,0.04336277521545764
1,original,asymmetric_conclusion,1.0,0.04345053552682575
1,negation,original,1.0,0.04033954494621793
1,negation,asymmetric_premise,0.0,-0.025976207421924524
1,negation,asymmetric_conclusion,0.0,-0.03397158735407859
1,antonym,original,1.0,0.03345281872080806
1,antonym,asymmetric_premise,0.1,-0.03872454268549176
1,antonym,asymmetric_conclusion,0.0,-0.03463381217984415
1,paraphrase,original,0.0,-0.05588753922883577
1,paraphrase,asymmetric_premise,1.0,0.06539583416753518
1,paraphrase,asymmetric_conclusion,1.0,0.05669151209737856
1,paraphrase_inversion,original,1.0,0.09957954738802882
1,paraphrase_inversion,asymmetric_premise,0.0,-0.11434746042149076
1,paraphrase_inversion,asymmetric_conclusion,0.0,-0.1069868012983864
1,negation_antonym,original,0.0,-0.032870980792106694
1,negation_antonym,asymmetric_premise,0.9,0.015445257565738408
1,negation_antonym,asymmetric_conclusion,0.8,0.026306120330254736
1,negation_paraphrase,original,1.0,0.026224441408572923
1,negation_paraphrase,asymmetric_premise,0.1,-0.021895806865792393
1,negation_paraphrase,asymmetric_conclusion,0.0,-0.03421825899404629
1,negation_paraphrase_inversion,original,0.0,-0.036279513156704225
1,negation_paraphrase_inversion,asymmetric_premise,1.0,0.04298859569102277
1,negation_paraphrase_inversion,asymmetric_conclusion,0.9,0.03297437952898967
2,original,original,1.0,0.030487326680401817
2,original,asymmetric_premise,0.0,-0.039938398795358696
2,original,asymmetric_conclusion,0.0,-0.032990852167088545
2,negation,original,0.2,-0.026734147385213142
2,negation,asymmetric_premise,0.5,0.016888160974634234
2,negation,asymmetric_conclusion,1.0,0.0330522444180731
2,antonym,original,1.0,0.04505434402486082
2,antonym,asymmetric_premise,0.3,-0.01777720089495834
2,antonym,asymmetric_conclusion,0.3,-0.016874679218133248
2,paraphrase,original,0.7,0.014156401188655066
2,paraphrase,asymmetric_premise,0.2,-0.009466328999629034
2,paraphrase,asymmetric_conclusion,0.3,-0.01787503690300437
2,paraphrase_inversion,original,0.6,0.011517489357711975
2,paraphrase_inversion,asymmetric_premise,0.4,-0.006270023736100983
2,paraphrase_inversion,asymmetric_conclusion,0.5,-0.010102811770305505
2,negation_antonym,original,0.6,0.009659308526751474
2,negation_antonym,asymmetric_premise,0.5,-0.007919154366077838
2,negation_antonym,asymmetric_conclusion,0.3,-0.005682895267615507
2,negation_paraphrase,original,0.0,-0.02635050340380493
2,negation_paraphrase,asymmetric_premise,0.9,0.018008628801138023
2,negation_paraphrase,asymmetric_conclusion,1.0,0.022590103610470858
2,negation_paraphrase_inversion,original,0.2,-0.026766810958104813
2,negation_paraphrase_inversion,asymmetric_premise,0.9,0.029720377926682244
2,negation_paraphrase_inversion,asymmetric_conclusion,0.9,0.0272535120479722
3,original,original,0.8,0.01755817079518044
3,original,asymmetric_premise,0.0,-0.04129760298045639
3,original,asymmetric_conclusion,0.0,-0.03396508760325852
3,negation,original,0.1,-0.033167285838311814
3,negation,asymmetric_premise,1.0,0.034043609059097646
3,negation,asymmetric_conclusion,1.0,0.03844676531145148
3,antonym,original,0.1,-0.026958259043770298
3,antonym,asymmetric_premise,1.0,0.042004869953164964
3,antonym,asymmetric_conclusion,0.9,0.040345495105950424
3,paraphrase,original,1.0,0.0764848279969041
3,paraphrase,asymmetric_premise,0.0,-0.07808823323544564
3,paraphrase,asymmetric_conclusion,0.0,-0.0774539383398968
3,paraphrase_inversion,original,0.0,-0.05186937114225645
3,paraphrase_inversion,asymmetric_premise,1.0,0.07313723187740677
3,paraphrase_inversion,asymmetric_conclusion,0.9,0.046550614962674076
3,negation_antonym,original,1.0,0.042011658444166634
3,negation_antonym,asymmetric_premise,0.0,-0.0547730187598667
3,negation_antonym,asymmetric_conclusion,0.0,-0.04996356210875516
