truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,0.0,-0.22458328027507415
0,negation,original,1.0,0.19598348696127663
0,antonym,original,1.0,0.12194496189913104
0,paraphrase,original,0.0,-0.21822340994913914
0,paraphrase_inversion,original,0.0,-0.07672160324720836
0,negation_antonym,original,0.0,-0.217902973623815
0,negation_paraphrase,original,1.0,0.16300699312955505
0,negation_paraphrase_inversion,original,1.0,0.10667961725574722
1,original,original,0.0,-0.15646547554325912
1,negation,original,1.0,0.1824393177140715
1,antonym,original,1.0,0.1307710294150591
1,paraphrase,original,0.0,-0.08586665211729232
1,paraphrase_inversion,original,0.0,-0.11058822026950828
1,negation_antonym,original,0.0,-0.1539333948691965
1,negation_paraphrase,original,1.0,0.10462943929624362
1,negation_paraphrase_inversion,original,1.0,0.1034845636029816
2,original,original,0.2,-0.017749272690254864
2,negation,original,1.0,0.09497287880123527
2,antonym,original,0.4,-0.014029296691039885
2,paraphrase,original,0.8,0.03633231501758538
2,paraphrase_inversion,original,0.0,-0.04495771735768116
2,negation_antonym,original,0.0,-0.06517748652859459
2,negation_paraphrase,original,0.9,0.03198139791577964
2,negation_paraphrase_inversion,original,0.4,-0.014527660143300725
3,original,original,1.0,0.24676310133092097
3,negation,original,0.0,-0.30206746501733306
3,antonym,original,0.0,-0.3668601841275264
3,paraphrase,original,1.0,0.26202790972047413
3,paraphrase_inversion,original,1.0,0.2762234397473792
3,negation_antonym,original,1.0,0.30073775420260596
3,negation_paraphrase,original,0.0,-0.3084413284456695
3,negation_paraphrase_inversion,original,0.0,-0.38035118913983984
4,original,original,0.7,0.02041405766751704
4,negation,original,0.0,-0.18458546416198424
4,antonym,original,0.0,-0.1476961539490069
4,paraphrase,original,1.0,0.12058962981195516
4,paraphrase_inversion,original,1.0,0.13591827046186386
4,negation_antonym,original,1.0,0.1675128009956103
4,negation_paraphrase,original,0.0,-0.1502073161128465
4,negation_paraphrase_inversion,original,0.0,-0.166217030149232
5,original,original,1.0,0.09745050011354359
5,negation,original,0.3,-0.03359024843817621
5,antonym,original,0.6,0.019854976734407184
5,paraphrase,original,1.0,0.03696298223432069
5,paraphrase_inversion,original,0.1,-0.055179762140090086
5,negation_antonym,original,0.9,0.07361768780516678
5,negation_paraphrase,original,0.0,-0.07952571584555569
5,negation_paraphrase_inversion,original,1.0,0.08770134835818805
6,original,original,0.0,-0.113821205634739
6,negation,original,0.9,0.02148567608650397
6,antonym,original,1.0,0.032699484035750785
6,paraphrase,original,0.0,-0.07686019982339945
6,paraphrase_inversion,original,0.0,-0.03538197873697699
6,negation_antonym,original,0.0,-0.023289166306702046
6,negation_paraphrase,original,1.0,0.05388953483786755
6,negation_paraphrase_inversion,original,1.0,0.03713145263237532
7,original,original,0.0,-0.08070830802850998
7,negation,original,0.6,-0.007201313469087543
7,antonym,original,1.0,0.17657886482134938
7,paraphrase,original,0.1,-0.019991181723342535
7,paraphrase_inversion,original,0.1,-0.020944450500908436
7,negation_antonym,original,0.0,-0.05298814995716865
7,negation_paraphrase,original,0.6,-0.001305328953722794
7,negation_paraphrase_inversion,original,1.0,0.027307918681852023
8,original,original,1.0,0.07076865691664996
8,negation,original,0.1,-0.06233226265422111
8,antonym,original,0.2,-0.04503392836861706
8,paraphrase,original,0.8,0.05339332721560923
