truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.026695736735765967
0,negation,original,0.9,0.010562835369416344
1,original,original,0.0,-0.010006033845687736
1,negation,original,0.0,-0.024051945715842925
2,original,original,1.0,0.01852933537085324
2,negation,original,0.0,-0.00648713974608324
3,original,original,0.4,-0.0007651236019071433
3,negation,original,0.0,-0.01290844086921635
4,original,original,1.0,0.029622522290846092
4,negation,original,0.6,0.0025363253067164186
5,original,original,0.0,-0.043028000375409894
5,negation,original,0.7,0.003297564574252148
6,original,original,1.0,0.042783885378040024
6,negation,original,0.9,0.012029838025110923
7,original,original,0.0,-0.048540908876406955
7,negation,original,0.4,-0.0003126438633814851
8,original,original,1.0,0.01366327144113601
8,negation,original,0.8,0.012741532933058792
9,original,original,0.0,-0.021778903239427206
9,negation,original,0.4,-0.0007347151510512016
10,original,original,0.0,-0.02015409329096569
10,negation,original,0.7,0.003058633846066843
11,original,original,0.0,-0.019355382771886122
11,negation,original,1.0,0.023324565834546458
12,original,original,1.0,0.014160717634871114
12,negation,original,0.0,-0.008702384999453864
13,original,original,1.0,0.03731956620809353
13,negation,original,1.0,0.004353205092323741
14,original,original,0.0,-0.0314587790411083
14,negation,original,1.0,0.009332384761191647
15,original,original,1.0,0.021370923677163294
15,negation,original,1.0,0.024812003398453103
16,original,original,0.0,-0.043622486799859916
16,negation,original,0.1,-0.013350007283903842
17,original,original,1.0,0.009891145235472238
17,negation,original,1.0,0.0112434386347506
18,original,original,0.0,-0.023287126060508378
18,negation,original,0.8,0.0065647738140835726
19,original,original,1.0,0.012313605475655114
19,negation,original,0.0,-0.015444289618373946
