truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.040696495618084576
0,negation,original,0.0,-0.016162848000185165
1,original,original,1.0,0.052078604683298745
1,negation,original,0.8,0.005823463691031508
2,original,original,1.0,0.02899329364081288
2,negation,original,0.0,-0.03253121679524502
3,original,original,0.0,-0.0268276006340191
3,negation,original,0.1,-0.00776199810265569
4,original,original,0.3,-0.008509821863902487
4,negation,original,1.0,0.021533931356385365
5,original,original,1.0,0.03570162167958772
5,negation,original,0.0,-0.02915211090409081
6,original,original,0.0,-0.045375527615492316
6,negation,original,1.0,0.021604089634255676
7,original,original,0.0,-0.04321590903280293
7,negation,original,1.0,0.01188625538292844
8,original,original,1.0,0.05216789283277821
8,negation,original,0.0,-0.0480371600703657
9,original,original,0.0,-0.03741744253888156
9,negation,original,0.0,-0.01017291736435864
10,original,original,0.8,0.0074258848245995325
10,negation,original,0.0,-0.014535614787527618
11,original,original,1.0,0.041455319575955496
11,negation,original,1.0,0.012281336371223792
12,original,original,0.0,-0.02732541681513257
12,negation,original,0.4,-0.0006041305190883509
13,original,original,1.0,0.03220078152287546
13,negation,original,0.1,-0.010712980944879652
14,original,original,0.1,-0.007098549657439916
14,negation,original,0.0,-0.020454366866402948
15,original,original,0.0,-0.06092009700035864
15,negation,original,1.0,0.020727475346972526
16,original,original,0.9,0.008323249716163262
16,negation,original,0.9,0.014719639186087045
17,original,original,0.0,-0.05233950156584429
17,negation,original,1.0,0.022601957862658385
18,original,original,1.0,0.02739165257084017
18,negation,original,1.0,0.007857898552254355
19,original,original,0.4,-0.0011683479809563254
19,negation,original,0.0,-0.011423583411078577
