truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.05003662136197207
0,negation,original,1.0,0.012453284041781417
1,original,original,0.0,-0.021261651716750714
1,negation,original,0.0,-0.008212087122853044
2,original,original,0.0,-0.008804059590696448
2,negation,original,1.0,0.028551675234689565
3,original,original,0.9,0.011115900436210616
3,negation,original,1.0,0.01629926022807522
4,original,original,0.0,-0.022111769161127053
4,negation,original,0.0,-0.03208599851963047
5,original,original,1.0,0.03744597391641071
5,negation,original,0.0,-0.02438052582343844
6,original,original,0.0,-0.05725794220692869
6,negation,original,0.3,-0.003699763632993202
7,original,original,0.0,-0.0179295687244092
7,negation,original,0.0,-0.020702014814656517
8,original,original,1.0,0.022640944366341082
8,negation,original,0.0,-0.02967251980342986
9,original,original,0.8,0.005279925779522987
9,negation,original,1.0,0.02256354629490892
10,original,original,0.0,-0.04591819900584635
10,negation,original,1.0,0.06751442793152182
11,original,original,1.0,0.025587409070613337
11,negation,original,0.1,-0.007814838483303058
12,original,original,0.0,-0.01646128392012839
12,negation,original,0.6,0.0027406646721916546
13,original,original,0.0,-0.058632428858718846
13,negation,original,0.7,0.0030313216827434633
14,original,original,0.6,0.0013100746711115336
14,negation,original,0.2,-0.0051524089903136495
15,original,original,1.0,0.012554202556395454
15,negation,original,1.0,0.028754512666978056
16,original,original,0.0,-0.04847330901720084
16,negation,original,1.0,0.025290685452656142
17,original,original,0.0,-0.02483322230153242
17,negation,original,0.0,-0.02056045082255209
18,original,original,1.0,0.04334791516501399
18,negation,original,1.0,0.013514289921750544
19,original,original,1.0,0.027253095098968238
19,negation,original,0.9,0.005821807691325098
