truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.05002126205767247
0,negation,original,0.0,-0.059585136882029356
1,original,original,0.0,-0.07362319810553487
1,negation,original,1.0,0.08866638733983466
2,original,original,1.0,0.0757109547345691
2,negation,original,0.0,-0.0747906339899092
3,original,original,1.0,0.057774065144256384
3,negation,original,0.0,-0.07225245939141176
4,original,original,1.0,0.0653301584255308
4,negation,original,0.0,-0.10005715090204319
5,original,original,0.0,-0.0980075438895947
5,negation,original,1.0,0.09780582215095449
6,original,original,1.0,0.059966107470632066
6,negation,original,0.0,-0.038622088177551146
7,original,original,1.0,0.0535974925203867
7,negation,original,0.0,-0.09442797110915539
8,original,original,0.0,-0.01693875771740454
8,negation,original,0.0,-0.012698501247898822
9,original,original,0.0,-0.07641045474613599
9,negation,original,1.0,0.05476179898090222
10,original,original,0.8,0.004390084745386623
10,negation,original,0.0,-0.027922822146006488
11,original,original,0.0,-0.03333720855507015
11,negation,original,1.0,0.0330623314499693
12,original,original,0.0,-0.01492942527212649
12,negation,original,1.0,0.008031287528723698
13,original,original,1.0,0.09046652049380292
13,negation,original,0.0,-0.07500212095393313
14,original,original,0.0,-0.041511665323882584
14,negation,original,1.0,0.05756755295603241
15,original,original,1.0,0.09011487853269902
15,negation,original,0.0,-0.023947349145436503
16,original,original,1.0,0.0792346528506336
16,negation,original,0.0,-0.10913337494757414
17,original,original,1.0,0.04137934685787182
17,negation,original,0.0,-0.05669048278574505
18,original,original,0.0,-0.03544458822120482
18,negation,original,1.0,0.03364708185306904
19,original,original,0.2,-0.008061442031221031
19,negation,original,1.0,0.061411830197964964
