truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,0.9,0.01709861182416974
0,negation,original,1.0,0.013832280901062
1,original,original,0.6,0.005780423161208069
1,negation,original,1.0,0.05061519717536258
2,original,original,1.0,0.06675226686764182
2,negation,original,0.0,-0.06300423077959233
3,original,original,0.0,-0.08526693383347284
3,negation,original,1.0,0.08265160806367654
4,original,original,0.7,0.007767204095901058
4,negation,original,1.0,0.027212495535615923
5,original,original,0.1,-0.010030451085707572
5,negation,original,1.0,0.041951789042233484
6,original,original,0.0,-0.0366063040632228
6,negation,original,0.6,0.0036305282196116033
7,original,original,0.0,-0.1300076119219423
7,negation,original,1.0,0.09349818402024883
8,original,original,1.0,0.07555090887813758
8,negation,original,0.0,-0.12363187873337159
9,original,original,0.0,-0.03687224362203612
9,negation,original,0.3,-0.00637736508824035
10,original,original,0.0,-0.016464836978725604
10,negation,original,0.1,-0.014002408605806321
11,original,original,1.0,0.08134457169183448
11,negation,original,0.0,-0.05508038166427888
12,original,original,0.0,-0.04027007665467095
12,negation,original,0.2,-0.0025083475192948213
13,original,original,1.0,0.032444762982995014
13,negation,original,0.5,-0.00026864484495054504
14,original,original,0.0,-0.053699342601119124
14,negation,original,1.0,0.05870981734493484
15,original,original,0.3,-0.005486751621424755
15,negation,original,0.0,-0.06665484429904421
16,original,original,1.0,0.10523825494222394
16,negation,original,0.0,-0.10340681707681947
17,original,original,1.0,0.04004276832020075
17,negation,original,0.0,-0.06393020413606115
18,original,original,1.0,0.056681417964213866
18,negation,original,0.0,-0.0567220548277085
19,original,original,0.0,-0.05871181161923804
19,negation,original,1.0,0.013475605840808222
