truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.09179446884671125
0,negation,original,0.0,-0.06300769389149967
1,original,original,0.0,0.0
1,negation,original,0.0,0.0
2,original,original,1.0,0.07702429027346971
2,negation,original,1.0,0.01068668312168298
3,original,original,1.0,0.03657892782899737
3,negation,original,1.0,0.011046615115925935
4,original,original,0.0,-0.0750099262577138
4,negation,original,1.0,0.028097775951127096
5,original,original,0.0,-0.03749929993695687
5,negation,original,0.4,-0.003473697575838218
6,original,original,0.0,-0.03290722104752445
6,negation,original,1.0,0.024466913452727897
7,original,original,0.0,-0.023249268409321112
7,negation,original,0.0,0.0
8,original,original,0.0,-0.020685437050087036
8,negation,original,0.2,-0.008842616617339266
9,original,original,1.0,0.12385564996519323
9,negation,original,0.0,-0.0741400561455543
10,original,original,1.0,0.08221854090609343
10,negation,original,0.0,-0.07388103732075488
11,original,original,1.0,0.06368908347028708
11,negation,original,0.0,-0.04148039866242635
12,original,original,0.0,-0.06411684198797427
12,negation,original,1.0,0.10594154913089002
13,original,original,0.0,-0.07871387150786804
13,negation,original,1.0,0.039731349689648
14,original,original,0.0,-0.05169952460831958
14,negation,original,0.6,0.0076662830297997185
15,original,original,1.0,0.061037585102659095
15,negation,original,0.0,-0.018275790916487976
16,original,original,0.0,-0.10481830745123115
16,negation,original,1.0,0.06669600021333538
17,original,original,0.0,-0.03610701887969906
17,negation,original,1.0,0.04041317019306685
18,original,original,1.0,0.07157742700963549
18,negation,original,0.0,-0.009738820609024276
19,original,original,1.0,0.07113351108867967
19,negation,original,0.0,-0.058913624921569
