truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,0.0,-0.08717377352094645
0,negation,original,1.0,0.1070288332470191
0,antonym,original,1.0,0.05813113523836104
0,paraphrase,original,0.0,-0.07876384193080396
0,paraphrase_inversion,original,0.0,-0.06509487043015802
0,negation_antonym,original,0.0,-0.061020704955581415
0,negation_paraphrase,original,1.0,0.07414741584879908
0,negation_paraphrase_inversion,original,1.0,0.07249982589507128
1,original,original,1.0,0.05468973534546193
1,negation,original,1.0,0.010121033059791604
1,antonym,original,0.0,-0.04607762702486014
1,paraphrase,original,1.0,0.06298694362321675
1,paraphrase_inversion,original,1.0,0.03159385542256329
1,negation_antonym,original,0.0,-0.01918805460949654
1,negation_paraphrase,original,0.0,-0.025687110716074067
1,negation_paraphrase_inversion,original,0.0,-0.06892415131415472
2,original,original,0.9,0.012887090883328414
2,negation,original,0.0,-0.01607445509237522
2,antonym,original,1.0,0.019885840372483924
2,paraphrase,original,0.3,-0.0069518146318373305
2,paraphrase_inversion,original,0.0,-0.09009743425049381
2,negation_antonym,original,0.0,-0.05054701700109079
2,negation_paraphrase,original,1.0,0.027668971521945307
2,negation_paraphrase_inversion,original,1.0,0.08349343867252802
3,original,original,1.0,0.12094338118293671
3,negation,original,0.0,-0.10935324117419369
3,antonym,original,0.0,-0.06685882115731082
3,paraphrase,original,1.0,0.09442365299227351
3,paraphrase_inversion,original,1.0,0.12910282309817417
3,negation_antonym,original,1.0,0.11721712149046233
3,negation_paraphrase,original,0.0,-0.062334067031819054
3,negation_paraphrase_inversion,original,0.0,-0.09157181623804693
4,original,original,0.6,0.0013677951740213746
4,negation,original,0.0,-0.06728073289272889
4,antonym,original,0.1,-0.016301503873635322
4,paraphrase,original,0.1,-0.03640163760512234
4,paraphrase_inversion,original,1.0,0.08302636139077738
4,negation_antonym,original,1.0,0.08639790424096389
4,negation_paraphrase,original,0.3,-0.007192320010826783
4,negation_paraphrase_inversion,original,0.1,-0.021273245927328134
5,original,original,0.0,-0.032410075140684405
5,negation,original,1.0,0.051042220221993326
5,antonym,original,1.0,0.03393995557706168
5,paraphrase,original,0.0,-0.052239184160789265
5,paraphrase_inversion,original,0.0,-0.06202771806110149
5,negation_antonym,original,0.0,-0.020542470475965798
5,negation_paraphrase,original,0.9,0.016596982517004373
5,negation_paraphrase_inversion,original,1.0,0.09461378317813593
6,original,original,0.0,-0.060514728836323764
6,negation,original,1.0,0.058528244375160035
6,antonym,original,1.0,0.025560289960537115
6,paraphrase,original,0.3,-0.004358606199262811
6,paraphrase_inversion,original,0.1,-0.008085865088314001
6,negation_antonym,original,0.0,-0.04142508557199152
6,negation_paraphrase,original,1.0,0.018632001944078935
6,negation_paraphrase_inversion,original,0.0,-0.006858782708062616
7,original,original,0.6,0.005770313890162363
7,negation,original,0.0,-0.04114524981180191
7,antonym,original,0.5,0.0019819347466474174
7,paraphrase,original,0.8,0.00896736656957407
7,paraphrase_inversion,original,0.0,-0.03787331532051021
7,negation_antonym,original,1.0,0.03756220792293324
7,negation_paraphrase,original,0.0,-0.04070681010429664
7,negation_paraphrase_inversion,original,1.0,0.04510152061926048
8,original,original,0.1,-0.021588527246914034
8,negation,original,0.3,0.0029373013480351513
8,antonym,original,0.9,0.014368040168522556
8,paraphrase,original,1.0,0.02334685902863757
8,paraphrase_inversion,original,0.0,-0.03786070855804001
8,negation_antonym,original,0.5,0.005014394447657697
8,negation_paraphrase,original,0.1,-0.004139719026466199
8,negation_paraphrase_inversion,original,0.0,-0.006895746910166188
9,original,original,0.6,0.002162950533051826
9,negation,original,0.0,-0.03096593633900978
9,antonym,original,0.0,-0.059628889839607
9,paraphrase,original,1.0,0.06262277294755514
9,paraphrase_inversion,original,0.0,-0.0650902627245612
9,negation_antonym,original,1.0,0.07084674313588825
9,negation_paraphrase,original,0.0,-0.06013713357237147
9,negation_paraphrase_inversion,original,1.0,0.0655811154275544
10,original,original,0.1,-0.030031455266533214
10,negation,original,0.1,-0.029447963729912457
10,antonym,original,0.8,0.02224654366125737
10,paraphrase,original,0.0,-0.0655008122055942
10,paraphrase_inversion,original,1.0,0.05476492537075611
10,negation_antonym,original,1.0,0.04174933776114815
10,negation_paraphrase,original,1.0,0.03282950800331882
10,negation_paraphrase_inversion,original,0.0,-0.042639344013835366
11,original,original,1.0,0.0893043403824215
11,negation,original,0.1,-0.011595595561318126
11,antonym,original,0.0,-0.06455610519801921
11,paraphrase,original,1.0,0.06495608169252147
11,paraphrase_inversion,original,0.0,-0.10063907459804755
11,negation_antonym,original,0.9,0.0123033194672683
11,negation_paraphrase,original,0.0,-0.045825057450461566
11,negation_paraphrase_inversion,original,1.0,0.034422849674429976
12,original,original,1.0,0.057047748534261464
12,negation,original,0.0,-0.07701403690065559
12,antonym,original,0.0,-0.023174728249128456
12,paraphrase,original,1.0,0.025358422769016502
12,paraphrase_inversion,original,0.7,-0.0002661696377856882
12,negation_antonym,original,1.0,0.060415250102830755
12,negation_paraphrase,original,0.0,-0.05585793054171985
12,negation_paraphrase_inversion,original,1.0,0.04349913109347059
13,original,original,0.6,0.0005727856725949865
13,negation,original,0.0,-0.028044910019193996
13,antonym,original,0.8,0.008851064155345043
13,paraphrase,original,0.3,-0.0009918922565285353
13,paraphrase_inversion,original,0.0,-0.03193787996956625
13,negation_antonym,original,0.1,-0.01128780806099792
13,negation_paraphrase,original,0.0,-0.013583240391303994
13,negation_paraphrase_inversion,original,1.0,0.03374079783265876
14,original,original,1.0,0.04856667431353637
14,negation,original,0.0,-0.02626185426548892
14,antonym,original,0.0,-0.03841796292014388
14,paraphrase,original,1.0,0.054855917200941164
14,paraphrase_inversion,original,0.0,-0.03629331867630271
14,negation_antonym,original,1.0,0.015020047688052604
14,negation_paraphrase,original,0.1,-0.02111558202161564
14,negation_paraphrase_inversion,original,1.0,0.014065680868371105
