truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.029345709557456735
0,negation,original,0.0,-0.02148495965787348
1,original,original,1.0,0.02188707696101679
1,negation,original,0.3,-0.001595548529462931
2,original,original,1.0,0.015457808757347225
2,negation,original,0.0,-0.04296066779739958
3,original,original,0.0,-0.01212222311857743
3,negation,original,0.9,0.006291613498277763
4,original,original,1.0,0.0401488601155206
4,negation,original,0.0,-0.030491859082684515
5,original,original,0.0,-0.013339798899184496
5,negation,original,0.4,-0.0019250866092261059
6,original,original,1.0,0.025407338742276485
6,negation,original,0.0,-0.02469358521945817
7,original,original,0.0,-0.025096596592367754
7,negation,original,1.0,0.010864520904902532
8,original,original,0.7,0.003138569300424656
8,negation,original,0.0,-0.012299401177175533
9,original,original,0.5,-0.0002463324618552855
9,negation,original,0.1,-0.004552575354288097
10,original,original,1.0,0.03660022939666848
10,negation,original,0.0,-0.01890799460191396
11,original,original,1.0,0.07828242644524042
11,negation,original,0.0,-0.029500295307483028
12,original,original,1.0,0.08212069610343606
12,negation,original,0.0,-0.0693797693280185
13,original,original,1.0,0.01815587167486859
13,negation,original,0.0,-0.015430534041609828
14,original,original,0.5,0.0003711540540136126
14,negation,original,1.0,0.006833093461268648
15,original,original,1.0,0.024015568916746322
15,negation,original,0.3,-0.002602826815416009
16,original,original,0.2,-0.002592075670209498
16,negation,original,1.0,0.006668556232735609
17,original,original,1.0,0.049891684294794444
17,negation,original,0.0,-0.03400799384544772
18,original,original,1.0,0.009261307611262839
18,negation,original,0.0,-0.01150481645245444
19,original,original,1.0,0.06181951924796547
19,negation,original,0.0,-0.038488050769591754
