truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.04305993992454325
0,negation,original,1.0,0.01925190068967054
1,original,original,1.0,0.06705500618329094
1,negation,original,0.0,-0.045389353622242126
2,original,original,1.0,0.045785806509946646
2,negation,original,0.0,-0.05146167118023576
3,original,original,1.0,0.009190905403078792
3,negation,original,0.0,-0.009824218753111815
4,original,original,1.0,0.01801841479248749
4,negation,original,1.0,0.012003163310019554
5,original,original,1.0,0.10283008721125395
5,negation,original,0.0,-0.021969196415189962
6,original,original,1.0,0.03214526643502061
6,negation,original,0.0,-0.026941609602904166
7,original,original,0.2,-0.0019377875036208007
7,negation,original,1.0,0.025769223651894085
8,original,original,1.0,0.02226109639776507
8,negation,original,0.0,-0.06085138432195382
9,original,original,1.0,0.018911428419658604
9,negation,original,0.0,-0.011837555405646457
10,original,original,1.0,0.010082768800419771
10,negation,original,1.0,0.022912907558096395
11,original,original,1.0,0.02780993351237871
11,negation,original,0.0,-0.03605899953716788
12,original,original,0.9,0.002760418595717224
12,negation,original,0.0,-0.020027536917518015
13,original,original,1.0,0.014273073523272842
13,negation,original,1.0,0.032785759153065204
14,original,original,1.0,0.023672636340403504
14,negation,original,0.0,-0.011813388044286968
15,original,original,0.0,-0.02507374080991153
15,negation,original,0.1,-0.004273394952488537
16,original,original,1.0,0.05991380718426089
16,negation,original,0.0,-0.06103274606861349
17,original,original,1.0,0.023376377150712915
17,negation,original,0.0,-0.023515220862171646
18,original,original,1.0,0.019966972224454652
18,negation,original,0.0,-0.03322025046255226
19,original,original,1.0,0.03229126000891731
19,negation,original,0.0,-0.019110335703841314
