truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.03955928066043972
0,negation,original,0.0,-0.025933992543222928
1,original,original,1.0,0.009254876970991102
1,negation,original,1.0,0.00826971697416944
2,original,original,1.0,0.03304243640772715
2,negation,original,1.0,0.0026738774758622483
3,original,original,1.0,0.05147633656246868
3,negation,original,0.5,-0.0011976833716290816
4,original,original,0.7,0.0017132617672726397
4,negation,original,1.0,0.03258330279648709
5,original,original,1.0,0.05526659441365894
5,negation,original,0.0,-0.04900217499047329
6,original,original,1.0,0.012026567349354462
6,negation,original,1.0,0.007491493672205342
7,original,original,1.0,0.02792696495338101
7,negation,original,0.0,-0.006858505479654551
8,original,original,1.0,0.09825592941933534
8,negation,original,0.0,-0.10188862957253457
9,original,original,1.0,0.035936873121051
9,negation,original,0.0,-0.07634692355354526
10,original,original,1.0,0.04572211999117963
10,negation,original,0.0,-0.057871916137964365
11,original,original,1.0,0.013771056887040398
11,negation,original,0.0,-0.0339703226597856
12,original,original,0.9,0.00763981004305832
12,negation,original,1.0,0.04210977355398078
13,original,original,0.8,0.003145648664573143
13,negation,original,1.0,0.016457290058900804
14,original,original,0.7,0.0008596862532102628
14,negation,original,1.0,0.041125810989086235
15,original,original,1.0,0.05945659504489159
15,negation,original,0.0,-0.01781772213909032
16,original,original,1.0,0.017553164040283554
16,negation,original,1.0,0.009269289736417028
17,original,original,1.0,0.010645955152611587
17,negation,original,0.4,-0.0019304104215482638
18,original,original,1.0,0.08761197550874668
18,negation,original,0.0,-0.033801491586398065
19,original,original,1.0,0.08683497157095915
19,negation,original,0.0,-0.012348474490450505
