truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.0167361732863383
0,original,asymmetric_premise,0.0,-0.010222237568919138
0,original,asymmetric_conclusion,0.0,-0.01086521792345781
0,negation,original,0.0,-0.019636363870954753
0,negation,asymmetric_premise,1.0,0.01812108074462118
0,negation,asymmetric_conclusion,1.0,0.019424947651081985
0,antonym,original,0.0,-0.025906505533922423
0,antonym,asymmetric_premise,1.0,0.024734418615411723
0,antonym,asymmetric_conclusion,1.0,0.025097555696555286
0,paraphrase,original,1.0,0.09215994411154396
0,paraphrase,asymmetric_premise,0.0,-0.08624345745866706
0,paraphrase,asymmetric_conclusion,0.0,-0.08986552354049229
0,paraphrase_inversion,original,0.0,-0.10088291255097954
0,paraphrase_inversion,asymmetric_premise,1.0,0.10249909253114939
0,paraphrase_inversion,asymmetric_conclusion,1.0,0.09964071835179082
0,negation_antonym,original,1.0,0.03134136618288461
0,negation_antonym,asymmetric_premise,0.0,-0.027008015132347307
0,negation_antonym,asymmetric_conclusion,0.0,-0.027437588827616943
0,negation_paraphrase,original,0.0,-0.05857924003813716
0,negation_paraphrase,asymmetric_premise,1.0,0.05301752187978318
0,negation_paraphrase,asymmetric_conclusion,1.0,0.05629825940657377
0,negation_paraphrase_inversion,original,1.0,0.07540420947968506
0,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.06986944677780262
0,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.07262383944692816
1,original,original,1.0,0.012435216276195534
1,original,asymmetric_premise,0.0,-0.018815764638639324
1,original,asymmetric_conclusion,0.0,-0.018992524299153463
1,negation,original,0.7,0.002975788985439141
1,negation,asymmetric_premise,0.8,0.004336936545310546
1,negation,asymmetric_conclusion,0.6,0.00196753243694845
1,antonym,original,1.0,0.04219389305997704
1,antonym,asymmetric_premise,0.0,-0.03224607456686211
1,antonym,asymmetric_conclusion,0.0,-0.034179508253338896
1,paraphrase,original,1.0,0.06765043217268443
1,paraphrase,asymmetric_premise,0.0,-0.05490106530894594
1,paraphrase,asymmetric_conclusion,0.0,-0.05117072387694279
