truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,0.0,-0.5829389387807523
0,negation,original,1.0,0.6976278138025365
0,antonym,original,1.0,0.8892795578715147
0,paraphrase,original,0.0,-0.39045086594317036
0,paraphrase_inversion,original,0.0,-0.41927600333901155
0,negation_antonym,original,0.0,-0.9016139712231924
0,negation_paraphrase,original,1.0,0.7765136094508588
0,negation_paraphrase_inversion,original,1.0,0.8161544008401075
1,original,original,0.0,-0.6087533274438447
1,negation,original,1.0,0.872164540003151
1,antonym,original,1.0,0.5075422757846159
1,paraphrase,original,0.8,0.24613798730495437
1,paraphrase_inversion,original,1.0,0.6189020920430137
1,negation_antonym,original,0.0,-0.5058085966671617
1,negation_paraphrase,original,0.2,-0.2896665041586478
1,negation_paraphrase_inversion,original,0.8,0.4437048749476121
2,original,original,1.0,0.767327430248842
2,negation,original,0.0,-0.5795224563830401
2,antonym,original,0.8,0.1428220419980802
2,paraphrase,original,1.0,0.7040078132897992
2,paraphrase_inversion,original,0.6,0.2558121389196528
2,negation_antonym,original,0.0,-0.36013427557729843
2,negation_paraphrase,original,1.0,0.41651087651682317
2,negation_paraphrase_inversion,original,1.0,0.747561963547323
3,original,original,1.0,0.9097590961364466
3,negation,original,0.0,-0.6341993548161688
3,antonym,original,0.0,-0.7924530469424718
3,paraphrase,original,1.0,0.8765519869964825
3,paraphrase_inversion,original,1.0,0.6783591955844448
3,negation_antonym,original,1.0,0.6452950886197454
3,negation_paraphrase,original,0.0,-0.8347018592812802
3,negation_paraphrase_inversion,original,0.0,-0.8242153066665552
4,original,original,0.8,0.3433559846117047
4,negation,original,0.3,-0.1717902172485422
4,antonym,original,0.0,-0.33123666051914186
4,paraphrase,original,0.6,-0.1110573983340966
4,paraphrase_inversion,original,0.0,-1.0
4,negation_antonym,original,1.0,0.38385300157333885
4,negation_paraphrase,original,0.5,0.040267114784907646
4,negation_paraphrase_inversion,original,0.0,-0.34603638701812856
5,original,original,1.0,0.8421439006056236
5,negation,original,0.0,-1.0
5,antonym,original,0.0,-0.9368228673529373
