truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.3585992271760491
0,negation,original,1.0,0.6166653072627069
1,original,original,1.0,0.9613251591557637
1,negation,original,0.1,-0.25881244269017056
2,original,original,0.8,0.07350789126793708
2,negation,original,1.0,0.7546490377341957
3,original,original,1.0,0.693127812727461
3,negation,original,0.9,0.300696361751456
4,original,original,0.9,0.17324876779109058
4,negation,original,1.0,0.38842688173943485
5,original,original,1.0,0.9121021114592669
5,negation,original,0.0,-0.5709224702820688
6,original,original,0.3,-0.11615295236772227
6,negation,original,1.0,0.7273233663276774
7,original,original,1.0,0.8058127599340905
7,negation,original,0.9,0.29642721042808695
8,original,original,1.0,0.26651140318956107
8,negation,original,1.0,0.6210801388592515
9,original,original,1.0,0.8203651601252488
9,negation,original,0.6,0.03796330502521493
10,original,original,1.0,0.6062523451339561
10,negation,original,0.4,-0.07787528227463629
11,original,original,1.0,0.9926003401000367
11,negation,original,0.0,-0.8228863646564673
12,original,original,1.0,0.9929071537539571
12,negation,original,0.0,-0.9080770637337109
13,original,original,0.8,0.11954875604610216
13,negation,original,0.7,0.04598027634162224
14,original,original,1.0,0.8409360398891319
14,negation,original,0.2,-0.14419854989556186
15,original,original,1.0,0.8231873173676693
15,negation,original,1.0,0.6873447428022553
16,original,original,1.0,0.7610404667168658
16,negation,original,0.1,-0.33414509723294544
17,original,original,1.0,0.9617305237707168
17,negation,original,0.0,-0.8572601657188
18,original,original,1.0,0.9046630344318645
18,negation,original,0.0,-0.46180374807992086
19,original,original,1.0,0.9762114290155315
19,negation,original,0.0,-0.8239521045513609
