truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.9782128702065052
0,negation,original,1.0,0.3109403089654679
1,original,original,1.0,0.9124168623205275
1,negation,original,0.1,-0.2122291319834307
2,original,original,1.0,0.9253286687828753
2,negation,original,0.7,0.06086965675124593
3,original,original,1.0,0.5911425519533385
3,negation,original,1.0,0.6326727551989759
4,original,original,1.0,0.9279977008157718
4,negation,original,0.9,0.34050326328807473
5,original,original,1.0,0.9128284609568335
5,negation,original,1.0,0.600195457397819
6,original,original,1.0,0.7651198067815852
6,negation,original,0.9,0.3670522509210902
7,original,original,1.0,0.8923658636110373
7,negation,original,0.2,-0.20677238494957922
8,original,original,1.0,0.6513977925257405
8,negation,original,0.1,-0.29077986267626577
9,original,original,1.0,0.8501611167234919
9,negation,original,0.9,0.28296786717853867
10,original,original,1.0,0.9632690168218409
10,negation,original,0.2,-0.2457691568550211
11,original,original,0.5,0.012102202651387419
11,negation,original,1.0,0.49215494974846663
12,original,original,1.0,0.6774203970029801
12,negation,original,0.9,0.17249282588746953
13,original,original,1.0,0.8945211788436536
13,negation,original,0.3,-0.08696250677181716
14,original,original,1.0,0.7733691616352424
14,negation,original,1.0,0.6046668794492306
15,original,original,1.0,0.8811133714526486
15,negation,original,1.0,0.23241685060363615
16,original,original,1.0,0.254375480457227
16,negation,original,1.0,0.76058425848538
17,original,original,1.0,0.9788356300618982
17,negation,original,0.0,-0.6372291037145569
18,original,original,0.5,0.035095998578223805
18,negation,original,1.0,0.6027532851538123
19,original,original,1.0,0.8274769981109987
19,negation,original,0.0,-0.4283165737409901
