truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.8374258209751668
0,negation,original,1.0,0.5658805678769545
1,original,original,1.0,0.7491327816622871
1,negation,original,1.0,0.5573206818019292
2,original,original,1.0,0.9737992573221781
2,negation,original,0.0,-0.5026231571025287
3,original,original,1.0,0.9921227107773218
3,negation,original,0.9,0.31483558811419804
4,original,original,1.0,0.9280937387406245
4,negation,original,0.0,-0.6693362976913113
5,original,original,1.0,0.9418908561667699
5,negation,original,1.0,0.5536186447028809
6,original,original,1.0,0.8655088897048298
6,negation,original,1.0,0.8301099372528279
7,original,original,1.0,0.9686096513680023
7,negation,original,1.0,0.9144902218953292
8,original,original,1.0,0.9961370244997851
8,negation,original,0.0,-0.84519521693542
9,original,original,1.0,0.8019438385179715
9,negation,original,0.0,-0.6973782501557986
10,original,original,1.0,1.0
10,negation,original,0.9,0.30103939155145254
11,original,original,1.0,0.7627953824403055
11,negation,original,0.0,-0.36735224967663505
12,original,original,1.0,0.9677765924719897
12,negation,original,1.0,0.3846086936993383
13,original,original,1.0,0.8207069731532268
13,negation,original,1.0,0.17307592762496746
14,original,original,1.0,0.9853694598877235
14,negation,original,1.0,0.836146529671024
15,original,original,1.0,0.783195953543933
15,negation,original,1.0,0.872768946585782
16,original,original,1.0,0.9489049185078591
16,negation,original,0.0,-0.7692515157837948
17,original,original,1.0,0.9822278193445383
17,negation,original,0.0,-0.23884951147102837
18,original,original,1.0,0.952391919246202
18,negation,original,1.0,0.7107448444504131
19,original,original,1.0,0.8615308909551709
19,negation,original,1.0,0.8820980895899208
