truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.6284396292001044
0,original,asymmetric_premise,0.0,-0.5916293089584471
0,original,asymmetric_conclusion,0.0,-0.6272364028762325
0,negation,original,0.0,-0.8753333994097616
0,negation,asymmetric_premise,1.0,0.8621875234910032
0,negation,asymmetric_conclusion,1.0,0.8682891077727275
0,antonym,original,0.0,-0.743303886414691
0,antonym,asymmetric_premise,1.0,0.7119590871352605
0,antonym,asymmetric_conclusion,1.0,0.7262569094062452
0,paraphrase,original,1.0,0.9931273970471934
0,paraphrase,asymmetric_premise,0.0,-0.994256021097945
0,paraphrase,asymmetric_conclusion,0.0,-0.9943113397628757
0,paraphrase_inversion,original,0.0,-0.9944922752506926
0,paraphrase_inversion,asymmetric_premise,1.0,0.9951179537192536
0,paraphrase_inversion,asymmetric_conclusion,1.0,0.9959872311544858
0,negation_antonym,original,1.0,0.8808343686892742
0,negation_antonym,asymmetric_premise,0.0,-0.8633235314726333
0,negation_antonym,asymmetric_conclusion,0.0,-0.8879997923795523
0,negation_paraphrase,original,0.0,-0.9925379306817004
0,negation_paraphrase,asymmetric_premise,1.0,0.993544910203591
0,negation_paraphrase,asymmetric_conclusion,1.0,0.9958861795434762
0,negation_paraphrase_inversion,original,1.0,0.9946982208189963
0,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.9955055419790908
0,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.9968297839893687
1,original,original,0.0,-0.25561623538412465
1,original,asymmetric_premise,1.0,0.2224429345722802
1,original,asymmetric_conclusion,1.0,0.24271220087806608
1,negation,original,1.0,0.6083014907813787
1,negation,asymmetric_premise,0.0,-0.5826666305976518
1,negation,asymmetric_conclusion,0.0,-0.5897238177783566
1,antonym,original,1.0,0.727910691632113
1,antonym,asymmetric_premise,0.0,-0.7387562686895385
1,antonym,asymmetric_conclusion,0.0,-0.7412872925629863
1,paraphrase,original,0.0,-0.9752368298348081
1,paraphrase,asymmetric_premise,1.0,0.9776505821944147
1,paraphrase,asymmetric_conclusion,1.0,0.977197993569902
1,paraphrase_inversion,original,1.0,0.7571237807492258
1,paraphrase_inversion,asymmetric_premise,0.0,-0.7284449475428663
1,paraphrase_inversion,asymmetric_conclusion,0.0,-0.7285324338367075
1,negation_antonym,original,0.0,-0.8275365777985634
1,negation_antonym,asymmetric_premise,1.0,0.8206127511885312
1,negation_antonym,asymmetric_conclusion,1.0,0.8270315890097584
1,negation_paraphrase,original,1.0,0.9756917797704704
1,negation_paraphrase,asymmetric_premise,0.0,-0.9714590582839661
1,negation_paraphrase,asymmetric_conclusion,0.0,-0.9635923734558458
1,negation_paraphrase_inversion,original,0.0,-0.8683794034126107
1,negation_paraphrase_inversion,asymmetric_premise,1.0,0.8397160497612693
1,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.8629614731522395
2,original,original,0.7,0.023287127327321144
2,original,asymmetric_premise,1.0,0.09259408588927784
2,original,asymmetric_conclusion,0.8,0.06074042043695758
2,negation,original,0.0,-0.70730599316989
2,negation,asymmetric_premise,1.0,0.663885905885715
2,negation,asymmetric_conclusion,1.0,0.6487544289365681
2,antonym,original,0.0,-0.5600687967326607
2,antonym,asymmetric_premise,1.0,0.4977344569612236
2,antonym,asymmetric_conclusion,1.0,0.614938500360857
2,paraphrase,original,0.0,-0.2868633064168604
2,paraphrase,asymmetric_premise,1.0,0.3176627608505239
2,paraphrase,asymmetric_conclusion,1.0,0.22112888015243765
2,paraphrase_inversion,original,0.0,-0.6718821283209704
2,paraphrase_inversion,asymmetric_premise,1.0,0.6121015828905406
2,paraphrase_inversion,asymmetric_conclusion,1.0,0.6537106595977897
2,negation_antonym,original,1.0,0.832905515829407
2,negation_antonym,asymmetric_premise,0.0,-0.817807414247041
2,negation_antonym,asymmetric_conclusion,0.0,-0.8264821730245725
2,negation_paraphrase,original,0.0,-0.6235898528598152
2,negation_paraphrase,asymmetric_premise,1.0,0.6621071969323683
2,negation_paraphrase,asymmetric_conclusion,1.0,0.6888708840011446
2,negation_paraphrase_inversion,original,1.0,0.7149535062796258
2,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.6957281532568557
2,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.7194210422857562
3,original,original,0.0,-0.9521505288775337
3,original,asymmetric_premise,1.0,0.9558478786001461
3,original,asymmetric_conclusion,1.0,0.9724682149211287
3,negation,original,1.0,0.9001187638685553
3,negation,asymmetric_premise,0.0,-0.8805298448322505
3,negation,asymmetric_conclusion,0.0,-0.9272795582196436
3,antonym,original,1.0,0.3737428321552418
3,antonym,asymmetric_premise,0.0,-0.47302678661054565
3,antonym,asymmetric_conclusion,0.0,-0.6712365843703664
3,paraphrase,original,0.0,-0.6478272634961372
3,paraphrase,asymmetric_premise,1.0,0.6389989030464365
3,paraphrase,asymmetric_conclusion,1.0,0.6477651845590515
3,paraphrase_inversion,original,1.0,0.9103341662675828
3,paraphrase_inversion,asymmetric_premise,0.0,-0.8966633367736057
3,paraphrase_inversion,asymmetric_conclusion,0.0,-0.8703426438103021
3,negation_antonym,original,1.0,0.23325294346487446
3,negation_antonym,asymmetric_premise,0.1,-0.2001268432245876
3,negation_antonym,asymmetric_conclusion,0.6,-0.006965910737490371
3,negation_paraphrase,original,1.0,0.8353011829310049
3,negation_paraphrase,asymmetric_premise,0.0,-0.8130254800707297
3,negation_paraphrase,asymmetric_conclusion,0.0,-0.8236552740387744
3,negation_paraphrase_inversion,original,0.0,-0.9834298572917579
3,negation_paraphrase_inversion,asymmetric_premise,1.0,0.9791902650831256
3,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.9804137850269573
4,original,original,1.0,0.6001750654130216
4,original,asymmetric_premise,0.0,-0.558348430279627
4,original,asymmetric_conclusion,0.0,-0.5488996490910896
4,negation,original,0.0,-0.8066488546061968
4,negation,asymmetric_premise,1.0,0.7884085724495877
4,negation,asymmetric_conclusion,1.0,0.7546709147906664
4,antonym,original,0.0,-0.6291338398050211
4,antonym,asymmetric_premise,1.0,0.5925749549173058
4,antonym,asymmetric_conclusion,1.0,0.6847374131761549
4,paraphrase,original,1.0,0.32352697754543425
4,paraphrase,asymmetric_premise,0.0,-0.2932513158446615
4,paraphrase,asymmetric_conclusion,0.0,-0.30852854580239597
4,paraphrase_inversion,original,0.0,-0.9950806151313232
4,paraphrase_inversion,asymmetric_premise,1.0,0.9957530140699704
4,paraphrase_inversion,asymmetric_conclusion,1.0,0.9940562179056338
4,negation_antonym,original,1.0,0.8463419897004355
4,negation_antonym,asymmetric_premise,0.0,-0.8206045618874194
4,negation_antonym,asymmetric_conclusion,0.0,-0.8426875217347455
4,negation_paraphrase,original,0.0,-0.8255260392902534
4,negation_paraphrase,asymmetric_premise,1.0,0.8070296588763831
4,negation_paraphrase,asymmetric_conclusion,1.0,0.8303060881285557
4,negation_paraphrase_inversion,original,1.0,0.9945840238746285
4,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.9947015218627462
4,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.9949146446150946
5,original,original,0.0,-0.534303414983109
5,original,asymmetric_premise,1.0,0.4849982217457707
5,original,asymmetric_conclusion,1.0,0.4744840660038694
5,negation,original,1.0,0.757219063918065
5,negation,asymmetric_premise,0.0,-0.7218534993540654
5,negation,asymmetric_conclusion,0.0,-0.703466030883398
5,antonym,original,1.0,0.4530582142296753
5,antonym,asymmetric_premise,0.0,-0.4036184869906023
5,antonym,asymmetric_conclusion,0.0,-0.39937541268033055
5,paraphrase,original,0.0,-0.7897492810091813
5,paraphrase,asymmetric_premise,1.0,0.7792656934074659
5,paraphrase,asymmetric_conclusion,1.0,0.7828001127130142
5,paraphrase_inversion,original,1.0,0.49660496925895875
5,paraphrase_inversion,asymmetric_premise,0.0,-0.526416681544642
5,paraphrase_inversion,asymmetric_conclusion,0.0,-0.5019024905113662
5,negation_antonym,original,0.0,-0.7069620914600785
5,negation_antonym,asymmetric_premise,1.0,0.6795937456116399
5,negation_antonym,asymmetric_conclusion,1.0,0.6389708922963536
5,negation_paraphrase,original,1.0,0.8091351716189257
5,negation_paraphrase,asymmetric_premise,0.0,-0.7959881842930654
5,negation_paraphrase,asymmetric_conclusion,0.0,-0.8482790733404932
5,negation_paraphrase_inversion,original,0.0,-0.590002988475062
5,negation_paraphrase_inversion,asymmetric_premise,1.0,0.5402256232543337
5,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.6161197171807008
6,original,original,1.0,0.3524572046139903
