truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,0.0,-0.7939272047932887
0,negation,original,1.0,0.9030839880221568
0,antonym,original,1.0,0.7672978799872929
0,paraphrase,original,0.0,-0.6117231320183987
0,paraphrase_inversion,original,0.0,-0.7089689823791728
0,negation_antonym,original,0.0,-0.8466588720208972
0,negation_paraphrase,original,1.0,0.7930653872293454
0,negation_paraphrase_inversion,original,1.0,0.5511198638546734
1,original,original,0.1,-0.23104243716664302
1,negation,original,1.0,0.6953612673097093
1,antonym,original,1.0,0.2660520471979396
1,paraphrase,original,0.3,-0.061066909942858495
1,paraphrase_inversion,original,0.6,0.031241114245536626
1,negation_antonym,original,0.0,-0.6679483602785223
1,negation_paraphrase,original,1.0,0.6582371187459345
1,negation_paraphrase_inversion,original,0.1,-0.09862091227264032
2,original,original,1.0,0.8945753435549995
2,negation,original,0.0,-0.7196765622807735
2,antonym,original,0.0,-0.8475369398096504
2,paraphrase,original,0.9,0.22067314383648973
2,paraphrase_inversion,original,0.0,-0.9075743381076947
2,negation_antonym,original,1.0,0.5847189382934983
2,negation_paraphrase,original,0.8,0.10960769799438815
2,negation_paraphrase_inversion,original,1.0,0.7843476170060288
3,original,original,1.0,0.9962273831173902
3,negation,original,0.0,-0.9840963134280903
3,antonym,original,0.0,-0.9766607204285329
3,paraphrase,original,1.0,0.9924969728099828
3,paraphrase_inversion,original,1.0,0.9859686926650537
3,negation_antonym,original,1.0,0.9900356872489354
3,negation_paraphrase,original,0.0,-0.9942543840781706
3,negation_paraphrase_inversion,original,0.0,-0.9377539245589814
4,original,original,1.0,0.32879175932860694
4,negation,original,0.0,-0.8710440081970934
4,antonym,original,0.0,-0.6860169548169134
4,paraphrase,original,1.0,0.7119073717218607
4,paraphrase_inversion,original,1.0,0.9044140224472385
4,negation_antonym,original,1.0,0.8192591953396118
4,negation_paraphrase,original,0.0,-0.9366543612527067
4,negation_paraphrase_inversion,original,0.0,-0.9236495727581948
5,original,original,1.0,0.6898561953794413
5,negation,original,0.8,0.08178903973521949
5,antonym,original,0.1,-0.6010975682127567
5,paraphrase,original,0.8,0.17310708260585406
5,paraphrase_inversion,original,1.0,0.5288363300803706
5,negation_antonym,original,0.4,-0.015369798040920651
5,negation_paraphrase,original,1.0,0.5273651900908858
5,negation_paraphrase_inversion,original,0.0,-0.5545390542340486
6,original,original,0.0,-0.8244191270286831
6,negation,original,1.0,0.8647959259071868
6,antonym,original,1.0,0.6182984696170271
6,paraphrase,original,0.0,-0.5998078842699919
6,paraphrase_inversion,original,0.3,-0.03709729725304016
6,negation_antonym,original,0.0,-0.7410520210733305
6,negation_paraphrase,original,1.0,0.7643566510736031
6,negation_paraphrase_inversion,original,0.4,0.0036017871425619782
7,original,original,0.3,-0.036360540842584776
7,negation,original,0.0,-0.4131212552271057
7,antonym,original,0.6,0.06839643190596469
7,paraphrase,original,0.4,-0.07686479086814686
7,paraphrase_inversion,original,0.0,-0.3683864334470771
