truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.49374143876761895
0,negation,original,0.0,-0.709045635868964
1,original,original,0.4,-0.0016054644501366211
1,negation,original,1.0,0.5158537065029057
2,original,original,1.0,0.7140688859335949
2,negation,original,0.0,-0.7902580251699506
3,original,original,1.0,0.4995564835835493
3,negation,original,0.0,-0.24341404393882438
4,original,original,1.0,0.5324895444101863
4,negation,original,0.0,-0.8137454138079618
5,original,original,0.0,-0.3689090037144517
5,negation,original,1.0,0.6068709077585522
6,original,original,0.9,0.13834657887167667
6,negation,original,0.0,-0.7211273262609301
7,original,original,0.5,0.08148138686835575
7,negation,original,1.0,0.4660530916035263
8,original,original,1.0,0.42209072382683344
8,negation,original,0.0,-0.6470155451357329
9,original,original,0.1,-0.31540246048207715
9,negation,original,1.0,0.83749652402267
10,original,original,0.9,0.568105201926995
10,negation,original,0.7,0.08666189160809852
11,original,original,1.0,0.9967016345429481
11,negation,original,0.0,-0.995191476211686
12,original,original,1.0,0.9928845015783077
12,negation,original,0.0,-0.9843348085568436
13,original,original,1.0,0.4624092743196157
13,negation,original,0.0,-0.7866996687342301
14,original,original,0.0,-0.1990768559900403
14,negation,original,1.0,0.6436583336983587
15,original,original,1.0,0.9685228638199271
15,negation,original,0.0,-0.9457857635056459
16,original,original,1.0,0.7633853947853793
16,negation,original,0.2,-0.0257375869273622
17,original,original,1.0,0.9989257643571022
17,negation,original,0.0,-0.9809338231851056
18,original,original,0.6,0.07738831008781406
18,negation,original,1.0,0.677227037045654
19,original,original,1.0,0.9981221188889184
19,negation,original,0.0,-0.9754141593891775
