truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.9748002137004314
0,negation,original,0.0,-0.38227091267818525
1,original,original,1.0,0.9492137639386338
1,negation,original,0.0,-0.9263183809704116
2,original,original,1.0,0.9993322935540359
2,negation,original,0.0,-0.9506729910370083
3,original,original,1.0,0.9715362551599597
3,negation,original,0.0,-0.38057450098069606
4,original,original,1.0,0.9708862292301307
4,negation,original,0.0,-0.3846802899491473
5,original,original,1.0,0.9882700324322157
5,negation,original,0.0,-0.4626069995229338
6,original,original,0.9,0.3945832722472237
6,negation,original,0.0,-0.477334017308627
7,original,original,0.7,0.07985192611570988
7,negation,original,1.0,0.6788299549216704
8,original,original,1.0,0.9546883126823884
8,negation,original,0.0,-0.9589232385178906
9,original,original,1.0,0.8988799495643267
9,negation,original,0.0,-0.5915330391738938
10,original,original,1.0,0.38225427170602355
10,negation,original,1.0,0.5190425839609467
11,original,original,1.0,0.9388868621498248
11,negation,original,0.0,-0.8972660977888584
12,original,original,1.0,0.6472467504606969
12,negation,original,0.5,-0.02276793006841427
13,original,original,1.0,0.8106073194245604
13,negation,original,1.0,0.5406862074419138
14,original,original,1.0,0.8100747045076446
14,negation,original,0.0,-0.3144470223287558
15,original,original,0.5,0.008885730750574528
15,negation,original,1.0,0.272330230839804
16,original,original,1.0,0.9509103920291071
16,negation,original,0.0,-0.9538936961051452
17,original,original,0.7,0.11933747614291916
17,negation,original,1.0,0.7611087496162672
18,original,original,1.0,0.9955573035528831
18,negation,original,0.0,-0.9796378701240471
19,original,original,1.0,0.7505350540689736
19,negation,original,0.0,-0.26451667163289605
