truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.6663994545192513
0,negation,original,0.0,-0.5331102880968281
1,original,original,1.0,0.5875781999276575
1,negation,original,0.0,-0.7708507276460954
2,original,original,1.0,0.6702731460167964
2,negation,original,0.0,-0.29640575016142867
3,original,original,1.0,0.8636700224787626
3,negation,original,0.0,-0.14869549825756334
4,original,original,0.0,-0.378971928065371
4,negation,original,1.0,0.41805527065971787
5,original,original,1.0,0.8273780813370599
5,negation,original,0.0,-0.870870312153342
6,original,original,1.0,0.8730764510026695
6,negation,original,0.0,-0.6930348725584148
7,original,original,1.0,0.888517320290739
7,negation,original,0.1,-0.12603293880075267
8,original,original,1.0,0.9876338586486803
8,negation,original,0.0,-0.9928791663032486
9,original,original,1.0,0.989624153634421
9,negation,original,0.0,-0.9654813245709878
10,original,original,1.0,0.9727535516900654
10,negation,original,0.0,-0.9186345961264978
11,original,original,1.0,0.6915329783472809
11,negation,original,0.0,-0.8532864135923086
12,original,original,1.0,0.7146478611790028
12,negation,original,1.0,0.8747973191854023
13,original,original,1.0,0.2931232824976276
13,negation,original,1.0,0.6843699114947166
14,original,original,1.0,0.3154640091287207
14,negation,original,1.0,0.6947668635134058
15,original,original,1.0,0.9865103716330783
15,negation,original,0.0,-0.8206889124909826
16,original,original,0.0,-0.3312093857548572
16,negation,original,1.0,0.5794663047649463
17,original,original,1.0,0.5640586467856751
17,negation,original,1.0,0.38962243987628586
18,original,original,1.0,0.9705495802635917
18,negation,original,0.0,-0.5048830847110026
19,original,original,1.0,0.9378039511132069
19,negation,original,0.1,-0.06176406901453526
