truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,0.0,-0.9546248053452532
0,negation,original,1.0,0.9257432452689471
0,antonym,original,1.0,0.9961790239801761
0,paraphrase,original,0.0,-0.7585251036706554
0,paraphrase_inversion,original,0.0,-0.42143004177763405
0,negation_antonym,original,0.0,-0.9939217401296316
0,negation_paraphrase,original,1.0,0.8415585335715517
0,negation_paraphrase_inversion,original,1.0,0.6385947204807858
1,original,original,0.4,-0.09609070106878252
1,negation,original,1.0,0.6633734620122392
1,antonym,original,0.9,0.31458501203366357
1,paraphrase,original,0.7,0.1122108941156494
1,paraphrase_inversion,original,0.7,0.16510027152806567
1,negation_antonym,original,0.2,-0.3923077938257642
1,negation_paraphrase,original,1.0,0.17107991090480595
1,negation_paraphrase_inversion,original,0.3,-0.015730368787553354
2,original,original,1.0,0.5980981101559852
2,negation,original,0.0,-0.8759411874068102
2,antonym,original,0.4,-0.08239990741621747
2,paraphrase,original,1.0,0.4234138500407817
2,paraphrase_inversion,original,0.0,-0.7759528433794471
2,negation_antonym,original,0.4,-0.02836076274004118
2,negation_paraphrase,original,0.8,0.22512579525457607
2,negation_paraphrase_inversion,original,1.0,0.8383798325741718
3,original,original,1.0,0.9914965889157651
3,negation,original,0.0,-0.9975262561425258
3,antonym,original,0.0,-0.9788903350817544
3,paraphrase,original,1.0,0.9990854551461329
3,paraphrase_inversion,original,1.0,0.9686403830951278
3,negation_antonym,original,1.0,0.9926983753677832
3,negation_paraphrase,original,0.0,-0.9969777669067648
3,negation_paraphrase_inversion,original,0.0,-0.9354323695584652
4,original,original,0.2,-0.06831237475894716
4,negation,original,0.0,-0.4382372050159402
4,antonym,original,0.1,-0.155365298484121
4,paraphrase,original,1.0,0.6127150725558062
4,paraphrase_inversion,original,1.0,0.6531598154544384
4,negation_antonym,original,1.0,0.458716478186902
4,negation_paraphrase,original,0.0,-0.8447812839261017
4,negation_paraphrase_inversion,original,0.0,-0.46926840474560283
5,original,original,1.0,0.30695145325270284
5,negation,original,0.0,-0.3108246512000193
5,antonym,original,0.7,-0.0013971185998078173
5,paraphrase,original,0.3,-0.05213874196591872
5,paraphrase_inversion,original,1.0,0.5646252295651171
5,negation_antonym,original,0.0,-0.4760009499255303
5,negation_paraphrase,original,1.0,0.4240334038409423
5,negation_paraphrase_inversion,original,0.0,-0.8485006692705535
6,original,original,0.0,-0.43656856138951394
6,negation,original,1.0,0.5449397490350909
6,antonym,original,1.0,0.4005913173405594
6,paraphrase,original,0.0,-0.21227901206531982
6,paraphrase_inversion,original,0.8,0.09056591695865632
6,negation_antonym,original,0.0,-0.39792449010614894
6,negation_paraphrase,original,1.0,0.24156898471102148
6,negation_paraphrase_inversion,original,1.0,0.2960618042046538
7,original,original,1.0,0.3884012755216939
7,negation,original,0.0,-0.6555071030917298
7,antonym,original,0.6,0.006991616408424534
7,paraphrase,original,1.0,0.5117573442207487
7,paraphrase_inversion,original,0.0,-0.5694611813719808
7,negation_antonym,original,0.9,0.393592427067431
7,negation_paraphrase,original,0.0,-0.8890088637504464
7,negation_paraphrase_inversion,original,1.0,0.9503395470617264
8,original,original,1.0,0.876895463617557
8,negation,original,0.0,-0.8160896029948782
8,antonym,original,0.0,-0.885630531077231
8,paraphrase,original,0.4,-0.03368892535849396
8,paraphrase_inversion,original,0.3,-0.08676463966172468
8,negation_antonym,original,1.0,0.6208230446312253
8,negation_paraphrase,original,1.0,0.6150299689186808
8,negation_paraphrase_inversion,original,0.1,-0.17336307963684086
9,original,original,1.0,0.5271059209045327
9,negation,original,0.6,0.0606903442032767
9,antonym,original,0.6,0.013449962897691157
9,paraphrase,original,0.9,0.2855761102484585
9,paraphrase_inversion,original,1.0,0.4397698941380755
9,negation_antonym,original,0.9,0.12568446126546023
9,negation_paraphrase,original,1.0,0.5606386478976734
9,negation_paraphrase_inversion,original,1.0,0.4271969528939731
10,original,original,1.0,0.7477980348119088
10,negation,original,0.0,-0.6755771456922333
10,antonym,original,0.0,-0.740753550038087
10,paraphrase,original,0.3,-0.15699432609546235
10,paraphrase_inversion,original,1.0,0.32434152665289256
10,negation_antonym,original,1.0,0.6353208042387835
10,negation_paraphrase,original,0.0,-0.21347713175916444
10,negation_paraphrase_inversion,original,0.4,-0.13658680842859344
11,original,original,1.0,0.8456697511979948
11,negation,original,0.0,-0.7781773694477487
11,antonym,original,0.4,-0.03924775510462823
11,paraphrase,original,1.0,0.8224116275938451
11,paraphrase_inversion,original,0.0,-0.6345647912788428
11,negation_antonym,original,0.8,0.157583347839918
11,negation_paraphrase,original,0.0,-0.8338542108859566
11,negation_paraphrase_inversion,original,1.0,0.732249878803479
12,original,original,1.0,0.6140445016640875
12,negation,original,0.0,-0.8282262874945875
12,antonym,original,0.3,-0.16180841094060075
12,paraphrase,original,0.4,0.09004555514634208
12,paraphrase_inversion,original,1.0,0.6053722406797223
12,negation_antonym,original,1.0,0.6133948719394429
12,negation_paraphrase,original,0.0,-0.866802417671704
12,negation_paraphrase_inversion,original,0.4,-0.07025498376291725
13,original,original,0.9,0.2134285012916796
13,negation,original,0.0,-0.6262721208109089
13,antonym,original,0.0,-0.1430327364582575
13,paraphrase,original,1.0,0.8868060438029755
13,paraphrase_inversion,original,0.0,-0.39522368054924184
13,negation_antonym,original,1.0,0.19236861744608935
