truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.90358985974023
0,original,asymmetric_premise,0.0,-0.8592244253412469
0,original,asymmetric_conclusion,0.0,-0.8620371297254046
0,negation,original,0.0,-0.615087304041469
0,negation,asymmetric_premise,1.0,0.7578428749022927
0,negation,asymmetric_conclusion,1.0,0.7224601962200424
0,antonym,original,0.0,-0.9505264039453841
0,antonym,asymmetric_premise,1.0,0.9086855890970528
0,antonym,asymmetric_conclusion,1.0,0.8939411549656839
0,paraphrase,original,1.0,0.7891805161335437
0,paraphrase,asymmetric_premise,0.0,-0.9028652030968523
0,paraphrase,asymmetric_conclusion,0.0,-0.9139618875795497
0,paraphrase_inversion,original,0.0,-0.9021032146541582
0,paraphrase_inversion,asymmetric_premise,1.0,0.873034297198019
0,paraphrase_inversion,asymmetric_conclusion,1.0,0.8565328190181404
0,negation_antonym,original,1.0,0.8101547690145283
0,negation_antonym,asymmetric_premise,0.0,-0.8554503006663576
0,negation_antonym,asymmetric_conclusion,0.0,-0.856669498553725
0,negation_paraphrase,original,0.0,-0.6423857940051851
0,negation_paraphrase,asymmetric_premise,1.0,0.6311402167469157
0,negation_paraphrase,asymmetric_conclusion,1.0,0.6375192441780368
0,negation_paraphrase_inversion,original,1.0,0.8174804626241674
0,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.8852426391930244
0,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.8858020011933588
1,original,original,1.0,0.7764366328526553
1,original,asymmetric_premise,0.0,-0.8736663345214193
1,original,asymmetric_conclusion,0.0,-0.8647938008192779
1,negation,original,0.0,-0.9025941592768515
1,negation,asymmetric_premise,1.0,0.876593192965467
1,negation,asymmetric_conclusion,1.0,0.8578491605457845
1,antonym,original,0.0,-0.6958929736007425
1,antonym,asymmetric_premise,1.0,0.8815275631172155
1,antonym,asymmetric_conclusion,1.0,0.8585221928938875
1,paraphrase,original,1.0,0.8199542749618903
1,paraphrase,asymmetric_premise,0.0,-0.9166342439322547
1,paraphrase,asymmetric_conclusion,0.0,-0.9185875301328078
1,paraphrase_inversion,original,0.0,-0.8586072500513134
1,paraphrase_inversion,asymmetric_premise,1.0,0.9576293892068148
1,paraphrase_inversion,asymmetric_conclusion,1.0,0.9599124514454129
1,negation_antonym,original,1.0,0.9231759214619055
1,negation_antonym,asymmetric_premise,0.0,-0.8839619678091319
1,negation_antonym,asymmetric_conclusion,0.0,-0.9044510336976485
1,negation_paraphrase,original,0.0,-0.9521164421471349
1,negation_paraphrase,asymmetric_premise,1.0,0.9578352157797717
1,negation_paraphrase,asymmetric_conclusion,1.0,0.9559464796839652
