truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.8976997939548756
1,original,original,1.0,0.638536013571021
2,original,original,1.0,0.7684528705639267
3,original,original,1.0,0.5625458361998386
4,original,original,1.0,0.6466633687397287
5,original,original,1.0,0.4665176660325633
6,original,original,1.0,0.7613417651648928
7,original,original,0.1,-0.2578593904796914
8,original,original,1.0,0.812121070085458
9,original,original,0.8,0.05258685098223842
10,original,original,0.0,-0.27778166408151267
11,original,original,1.0,0.986556124648344
12,original,original,0.6,-0.002821436687271088
13,original,original,1.0,0.5699126774184226
14,original,original,0.7,0.059032976447788446
15,original,original,1.0,0.8758883216466773
16,original,original,0.4,-0.0506014132359429
17,original,original,1.0,0.9571064359671263
18,original,original,0.6,0.03359731973018869
19,original,original,1.0,0.9809745311952434
