truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.9731972055018211
0,negation,original,0.9,0.09670779412239709
1,original,original,1.0,0.7918948197117294
1,negation,original,0.0,-0.47207845847101987
2,original,original,1.0,0.9708837785945615
2,negation,original,0.0,-0.8605536231311968
3,original,original,1.0,0.5980867819835588
3,negation,original,0.0,-0.6624722079413445
4,original,original,1.0,0.9069629706919423
4,negation,original,0.8,0.1259425784344491
5,original,original,1.0,0.9809834623053482
5,negation,original,0.9,0.16471902590171092
6,original,original,1.0,0.7973551542332149
6,negation,original,0.0,-0.4675921843328082
7,original,original,1.0,0.5185947708394992
7,negation,original,1.0,0.5943995522693715
8,original,original,1.0,0.8848360406323854
8,negation,original,0.0,-0.6893709301249391
9,original,original,1.0,0.7711609086344603
9,negation,original,0.0,-0.552695478830125
10,original,original,1.0,0.5443768548961125
10,negation,original,0.0,-0.24857605919703932
11,original,original,1.0,0.9045553441562934
11,negation,original,0.0,-0.9247288072158317
12,original,original,1.0,0.81713914756322
12,negation,original,0.0,-0.6938372556600046
13,original,original,1.0,0.8710725916197217
13,negation,original,0.8,0.07994364104775561
14,original,original,1.0,0.7439187974462954
14,negation,original,0.0,-0.7752990188036749
15,original,original,1.0,0.6071959879039474
15,negation,original,0.9,0.27536933993417734
16,original,original,1.0,0.9615332703475268
16,negation,original,0.0,-0.962215492531393
17,original,original,1.0,0.839840605262277
17,negation,original,0.5,-0.06011938776270296
18,original,original,1.0,0.9162541748000403
18,negation,original,0.0,-0.5197221120377089
19,original,original,1.0,0.8248199118663482
19,negation,original,0.0,-0.8123019690594291
