truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.8250302310502878
1,original,original,1.0,0.8658189814708072
2,original,original,1.0,0.9464797283000623
3,original,original,1.0,0.9510419603208172
4,original,original,1.0,0.5529831940265224
5,original,original,1.0,0.918058155659906
6,original,original,1.0,0.857194307577673
7,original,original,1.0,0.9180854123790534
8,original,original,1.0,0.9976854003531871
9,original,original,1.0,0.9802601073689342
10,original,original,1.0,0.9815811613869261
11,original,original,1.0,0.20173853511250064
12,original,original,1.0,0.7560675918344624
13,original,original,1.0,0.8168447386774712
14,original,original,1.0,0.6802328670666837
15,original,original,1.0,0.928079756762226
16,original,original,0.2,-0.156164802538087
17,original,original,1.0,0.6671049887863522
18,original,original,1.0,0.9532811176340653
19,original,original,1.0,0.9531368633265098
