truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.009943207542309648
0,original,asymmetric_premise,0.0,0.0
0,original,asymmetric_conclusion,0.0,0.0
0,negation,original,0.0,0.0
0,negation,asymmetric_premise,0.3,-0.0022084900684374606
0,negation,asymmetric_conclusion,0.1,-0.006551050636262007
0,antonym,original,0.0,0.0
0,antonym,asymmetric_premise,0.9,0.013566070955544445
0,antonym,asymmetric_conclusion,1.0,0.012983695433389167
0,paraphrase,original,1.0,0.11563862919954604
0,paraphrase,asymmetric_premise,0.0,0.0
0,paraphrase,asymmetric_conclusion,0.0,0.0
0,paraphrase_inversion,original,0.0,-0.0568875310461328
0,paraphrase_inversion,asymmetric_premise,0.0,0.0
0,paraphrase_inversion,asymmetric_conclusion,0.0,0.0
0,negation_antonym,original,0.6,0.0014881789975273144
0,negation_antonym,asymmetric_premise,0.0,0.0
0,negation_antonym,asymmetric_conclusion,0.0,0.0
0,negation_paraphrase,original,0.0,0.0
0,negation_paraphrase,asymmetric_premise,1.0,0.10744613631705273
0,negation_paraphrase,asymmetric_conclusion,1.0,0.1098691244045844
0,negation_paraphrase_inversion,original,0.0,0.0
0,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.021268234316754626
0,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.019153609432358783
1,original,original,1.0,0.06486896918527967
1,original,asymmetric_premise,0.0,0.0
1,original,asymmetric_conclusion,0.0,0.0
1,negation,original,0.0,0.0
1,negation,asymmetric_premise,1.0,0.04847382574007083
1,negation,asymmetric_conclusion,1.0,0.04921764212277875
1,antonym,original,0.0,0.0
1,antonym,asymmetric_premise,1.0,0.09501620933257757
1,antonym,asymmetric_conclusion,1.0,0.09666904693291486
1,paraphrase,original,1.0,0.05569533414795238
1,paraphrase,asymmetric_premise,0.0,0.0
1,paraphrase,asymmetric_conclusion,0.0,0.0
1,paraphrase_inversion,original,0.0,-0.0947205246164252
1,paraphrase_inversion,asymmetric_premise,0.0,0.0
1,paraphrase_inversion,asymmetric_conclusion,0.0,0.0
1,negation_antonym,original,1.0,0.07785216360527054
1,negation_antonym,asymmetric_premise,0.0,0.0
1,negation_antonym,asymmetric_conclusion,0.0,0.0
1,negation_paraphrase,original,0.0,0.0
1,negation_paraphrase,asymmetric_premise,1.0,0.05945979994813029
1,negation_paraphrase,asymmetric_conclusion,1.0,0.06069055222927727
1,negation_paraphrase_inversion,original,0.0,0.0
1,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.07666523602454531
1,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.0815130783436077
2,original,original,1.0,0.08603926733500908
2,original,asymmetric_premise,0.0,0.0
2,original,asymmetric_conclusion,0.0,0.0
2,negation,original,0.0,0.0
2,negation,asymmetric_premise,1.0,0.05693665193025441
2,negation,asymmetric_conclusion,1.0,0.053536853220787606
2,antonym,original,0.0,0.0
2,antonym,asymmetric_premise,1.0,0.06262961529749408
2,antonym,asymmetric_conclusion,1.0,0.06532200145072661
2,paraphrase,original,1.0,0.05779033385038235
2,paraphrase,asymmetric_premise,0.0,0.0
2,paraphrase,asymmetric_conclusion,0.0,0.0
2,paraphrase_inversion,original,1.0,0.03752537348039102
2,paraphrase_inversion,asymmetric_premise,0.0,0.0
2,paraphrase_inversion,asymmetric_conclusion,0.0,0.0
2,negation_antonym,original,1.0,0.05874558779843529
2,negation_antonym,asymmetric_premise,0.0,0.0
2,negation_antonym,asymmetric_conclusion,0.0,0.0
2,negation_paraphrase,original,0.0,0.0
