rank,greater_than_word,greater_than_count,less_than_word,less_than_count
1,than,106,[MASK],115
2,[MASK],105,than,115
3,so,29,not,25
4,not,26,finds,17
5,finds,18,find,16
6,is,16,is,15
7,time,14,so,14
8,find,12,has,12
9,to,12,it,12
10,does,10,be,12
11,be,10,to,11
12,care,10,time,10
13,has,10,care,10
14,stressed,9,should,10
15,initially,8,stressed,9
16,parent,8,assistance,9
17,assistance,8,ignorant,9
18,doctor,8,reason,9
19,should,8,does,8
20,it,7,doctor,8
21,feel,7,initially,7
22,more,7,towards,7
23,ignorant,7,skills,6
24,reason,7,relaxed,6
25,t,6,respect,6
26,skills,6,awkward,6
27,relaxed,6,have,6
28,calm,6,of,6
29,ability,6,takes,6
30,respect,6,parent,6
31,ease,6,tennis,6
32,awkward,6,better,6
33,chance,6,t,5
34,thoughtful,6,##ent,5
35,selfish,6,feel,5
36,knowledge,6,calm,5
37,financially,6,ability,5
38,tennis,6,##pect,5
39,varsity,5,ease,5
40,about,5,more,5
41,of,5,around,5
42,towards,5,chance,5
43,sin,5,thoughtful,5
44,praying,5,selfish,5
45,understanding,5,knowledge,5
46,##com,4,##pet,4
47,concentrate,4,varsity,4
48,a,4,a,4
49,boss,4,provides,4
50,crush,4,from,4
51,takes,4,must,4
52,take,4,sin,4
53,provide,4,priest,4
54,must,4,praying,4
55,less,4,understanding,4
56,better,4,mistakes,3
57,skilled,3,nervous,3
58,##pet,3,sad,3
59,nervous,3,frowning,3
60,isn,3,productive,3
61,happy,3,##uctive,3
62,sad,3,waste,3
63,happiness,3,kind,3
64,frowning,3,mean,3
65,productive,3,about,3
66,##uctive,3,cruel,3
67,waste,3,commands,3
68,kind,3,boss,3
69,mean,3,command,3
70,people,3,earned,3
71,cruel,3,##res,3
72,commands,3,crush,3
73,command,3,failing,3
74,##pect,3,take,3
75,##res,3,medical,3
76,earned,3,ins,3
77,around,3,caring,3
78,failing,3,spend,3
79,dedication,3,likely,3
80,succeeding,3,law,3
81,succeed,3,clue,3
82,medical,3,financially,3
83,aid,3,unstable,3
84,##ens,3,less,3
85,caring,3,capable,3
86,spends,3,unable,3
87,spend,3,##ficient,3
88,priest,3,inadequate,3
89,likely,3,##rick,3
90,often,3,informed,3
91,clue,3,teacher,3
92,studied,3,unaware,3
93,unable,3,skilled,2
94,##ficient,3,##com,2
95,player,3,happy,2
96,inadequate,3,happiness,2
97,being,3,concentrate,2
98,##rick,3,work,2
99,material,3,at,2
100,unaware,3,feels,2
101,mistakes,2,succeeding,2
102,cares,2,succeed,2
103,person,2,provide,2
104,failure,2,rely,2
105,have,2,aid,2
106,provides,2,require,2
107,relies,2,spends,2
108,on,2,often,2
109,from,2,##able,2
110,requires,2,studied,2
111,##itive,2,lawyer,2
112,##ning,2,lot,2
113,lawyer,2,secure,2
114,##less,2,worries,2
115,##able,2,references,2
116,secure,2,pro,2
117,unstable,2,player,2
118,bankruptcy,2,being,2
119,worry,2,material,2
120,capable,2,make,1
121,references,2,going,1
122,pro,2,won,1
123,annoyed,2,isn,1
124,show,2,able,1
125,informed,2,bull,1
126,teacher,2,cares,1
127,team,1,people,1
128,makes,1,person,1
129,##ent,1,##ed,1
130,perform,1,dedication,1
131,competition,1,failure,1
132,while,1,relies,1
133,work,1,on,1
134,out,1,requires,1
135,rely,1,feelings,1
136,the,1,the,1
137,law,1,##less,1
138,pay,1,bankruptcy,1
139,bills,1,worry,1
140,worries,1,understand,1
141,pop,1,annoyed,1
142,culture,1,##pol,1
143,p,1,friend,1
144,friend,1,friends,1
145,subject,1,show,1
