truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.8826965006524927
0,original,asymmetric_premise,0.0,-0.6958941966568285
0,original,asymmetric_conclusion,0.0,-0.7457091452349037
0,negation,original,0.0,-0.9318920680188973
0,negation,asymmetric_premise,1.0,0.9274634212990482
0,negation,asymmetric_conclusion,1.0,0.9185551074593608
0,antonym,original,0.0,-0.844811859656742
0,antonym,asymmetric_premise,1.0,0.7537814998959336
0,antonym,asymmetric_conclusion,1.0,0.7915729965109983
0,paraphrase,original,1.0,0.8892965452398369
0,paraphrase,asymmetric_premise,0.0,-0.7053538125045062
0,paraphrase,asymmetric_conclusion,0.0,-0.7322915588966037
0,paraphrase_inversion,original,0.0,-0.771078978696166
0,paraphrase_inversion,asymmetric_premise,1.0,0.7334711015167452
0,paraphrase_inversion,asymmetric_conclusion,1.0,0.8155667246791534
0,negation_antonym,original,1.0,0.9150044070225041
0,negation_antonym,asymmetric_premise,0.0,-0.8836875173093646
0,negation_antonym,asymmetric_conclusion,0.0,-0.8903687179524244
0,negation_paraphrase,original,0.0,-0.9028741379885241
0,negation_paraphrase,asymmetric_premise,1.0,0.8811495233110234
0,negation_paraphrase,asymmetric_conclusion,1.0,0.9184346107323863
0,negation_paraphrase_inversion,original,1.0,0.8576470021940745
0,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.8242874907992015
0,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.8791744181082288
1,original,original,1.0,0.25630165119158616
1,original,asymmetric_premise,1.0,0.2369093020259005
1,original,asymmetric_conclusion,0.0,-0.07902036546966541
1,negation,original,1.0,0.746303785182991
1,negation,asymmetric_premise,0.0,-0.6832782923364562
1,negation,asymmetric_conclusion,0.0,-0.661371728957343
1,antonym,original,1.0,0.3165844421001598
1,antonym,asymmetric_premise,0.0,-0.5643391402954546
1,antonym,asymmetric_conclusion,0.0,-0.8077197691582321
1,paraphrase,original,0.0,-0.1799163449232482
1,paraphrase,asymmetric_premise,1.0,0.6113217276522472
1,paraphrase,asymmetric_conclusion,1.0,0.5213207221588336
1,paraphrase_inversion,asymmetric_premise,0.0,-0.79860645082712
1,paraphrase_inversion,asymmetric_conclusion,0.0,-0.7588102336542014
1,negation_antonym,original,0.0,-0.6559835014954728
1,negation_antonym,asymmetric_premise,1.0,0.662641427545408
1,negation_antonym,asymmetric_conclusion,1.0,0.6394778705825293
1,negation_paraphrase,original,1.0,0.949575609682004
1,negation_paraphrase,asymmetric_premise,0.0,-0.8847058764123223
1,negation_paraphrase,asymmetric_conclusion,0.0,-0.8751795497654198
1,negation_paraphrase_inversion,original,0.0,-0.9142611926537707
2,original,original,1.0,0.6759117951130102
2,original,asymmetric_premise,0.0,-0.34818477498800743
2,original,asymmetric_conclusion,1.0,0.07974444808565768
2,negation,original,0.0,-0.9079650239094985
2,negation,asymmetric_premise,1.0,0.8815845800176547
2,negation,asymmetric_conclusion,1.0,0.881480006408881
2,antonym,original,0.0,-0.8885891307322062
2,antonym,asymmetric_premise,1.0,0.7733227554663898
2,antonym,asymmetric_conclusion,1.0,0.8933421151243335
2,paraphrase,original,1.0,0.4651956565951186
2,paraphrase,asymmetric_premise,1.0,0.011798315674845615
2,paraphrase,asymmetric_conclusion,0.0,-0.23173220552788082
2,paraphrase_inversion,original,0.0,-0.2943879758279198
2,paraphrase_inversion,asymmetric_premise,1.0,0.2320678400431873
2,paraphrase_inversion,asymmetric_conclusion,1.0,0.2915562492627918
2,negation_antonym,original,1.0,0.6803295055516293
2,negation_antonym,asymmetric_premise,0.0,-0.5784648473543825
2,negation_antonym,asymmetric_conclusion,0.0,-0.6587724771836657
2,negation_paraphrase,original,0.0,-0.8148232430035856
2,negation_paraphrase,asymmetric_premise,1.0,0.7556221084538733
2,negation_paraphrase,asymmetric_conclusion,1.0,0.7846900864388884
2,negation_paraphrase_inversion,original,1.0,0.8734989606427603
2,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.8753281045997989
2,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.7695308869571679
